Percentual da população coberta pela Estratégia Saúde da Família (ESF) - Municípios da UF: Mato Grosso do Sul;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Glória de Dourados;0,0;0,0;0,0;0,0;0,0;93,1;87,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Guia Lopes da Laguna;0,0;0,0;61,6;62,1;62,6;63,1;63,6;55,0;67,6;65,8;99,5;99,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Iguatemi;0,0;24,6;97,4;96,6;95,8;95,0;94,2;89,2;94,3;91,5;68,0;92,8;92,2;91,6;89,4;88,8;88,3;87,7;87,1;86,4
Inocência;0,0;0,0;86,3;86,6;86,9;87,2;87,5;78,1;94,0;91,5;92,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Itaporã;19,8;38,7;75,8;74,2;72,7;71,3;69,9;77,2;74,2;71,9;71,2;66,1;81,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Itaquiraí;0,0;0,0;82,6;96,2;96,1;97,6;96,8;77,7;100,0;98,9;98,0;92,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;99,0
Ivinhema;0,0;31,1;46,5;61,9;61,7;61,6;61,4;68,9;67,1;81,6;81,9;77,2;77,0;76,8;90,7;90,5;90,3;90,1;89,9;100,0
Japorã;0,0;0,0;52,2;51,0;49,8;0,0;0,0;47,0;46,9;45,3;44,5;89,3;87,9;86,6;100,0;100,0;100,0;100,0;100,0;100,0
Jaraguari;0,0;0,0;0,0;59,5;58,5;94,6;98,7;100,0;61,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Jardim;0,0;0,0;14,7;29,3;29,1;28,9;43,0;41,5;59,1;71,7;71,4;70,9;70,5;84,1;82,2;81,7;100,0;100,0;100,0;93,0
Jateí;0,0;0,0;0,0;83,7;91,5;91,7;85,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Juti;0,0;0,0;65,3;64,2;89,5;88,1;92,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Ladário;0,0;0,0;0,0;20,3;19,8;38,7;56,7;58,2;57,8;56,0;55,0;70,3;61,4;82,6;81,7;100,0;100,0;77,6;91,6;100,0
Laguna Carapã;0,0;107,8;96,3;96,2;96,1;94,6;97,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Maracaju;0,0;0,0;11,8;11,4;11,0;10,6;10,3;36,2;33,5;43,2;53,1;64,6;63,1;70,6;75,5;90,1;88,1;78,3;84,3;82,6
Miranda;0,0;0,0;14,4;14,2;28,1;27,8;13,8;13,7;14,4;14,0;13,9;13,5;26,8;26,6;38,8;38,5;38,2;50,5;62,7;62,1
Mundo Novo;0,0;0,0;0,0;42,0;41,7;62,0;61,6;73,8;64,8;63,0;62,7;60,7;60,4;60,0;100,0;100,0;100,0;100,0;100,0;100,0
Naviraí;9,2;9,0;8,7;8,5;33,3;32,5;31,8;50,4;55,7;61,6;60,5;59,5;73,1;72,0;62,3;68,1;66,9;65,9;64,9;63,8
Nioaque;0,0;45,0;67,8;68,2;68,6;91,9;0,0;76,4;90,8;88,2;87,9;95,9;77,0;100,0;72,0;96,5;100,0;100,0;100,0;98,0
Nova Alvorada do Sul;60,0;53,9;59,9;56,6;53,7;25,5;48,7;86,6;100,0;100,0;100,0;100,0;100,0;99,1;93,2;90,4;87,8;85,3;83,0;81,0
Nova Andradina;0,0;18,5;54,1;52,7;51,3;58,4;65,1;69,9;63,5;61,4;60,1;68,1;67,0;65,9;63,2;62,1;61,0;60,0;59,0;58,0
Novo Horizonte do Sul;0,0;0,0;55,3;56,7;96,9;99,5;92,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Paraíso das Águas;**;**;**;**;**;**;**;**;**;**;**;**;**;**;69,8;68,4;67,0;65,7;64,5;63,2
Paranaíba;0,0;35,0;34,8;34,7;95,1;94,7;94,4;95,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;99,8;99,5;99,1;98,5
Paranhos;0,0;64,7;63,4;62,2;91,5;89,9;88,3;96,2;93,3;90,5;89,6;83,8;82,7;81,7;78,9;77,8;76,7;75,7;74,7;73,7
Pedro Gomes;0,0;39,8;80,3;80,9;81,5;82,1;82,8;100,0;83,1;80,8;80,8;86,6;87,1;87,5;87,3;100,0;88,5;89,2;89,8;90,0
Ponta Porã;5,5;5,4;15,7;25,6;29,9;29,2;38,0;40,4;52,6;50,9;50,0;53,2;52,3;55,8;61,8;60,7;59,7;62,6;65,5;72,0
Porto Murtinho;0,0;0,0;73,8;72,7;47,8;47,1;46,5;50,4;46,4;45,0;44,4;44,9;44,4;44,0;85,4;84,5;83,6;82,7;61,3;60,6
Ribas do Rio Pardo;60,5;59,0;57,6;56,3;55,0;53,8;70,2;72,0;72,0;69,8;68,7;65,9;64,9;63,9;61,5;75,6;74,5;73,3;57,8;56,9
Rio Brilhante;0,0;28,8;41,7;80,8;91,4;88,7;98,4;100,0;100,0;100,0;98,9;90,0;88,2;86,6;93,1;91,1;89,3;87,6;85,9;84,3
Rio Negro;0,0;62,6;63,1;99,6;100,1;100,9;100,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Rio Verde de Mato Grosso;37,2;74,1;99,0;100,2;101,4;101,1;105,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Rochedo;77,4;76,4;75,5;74,6;73,7;97,4;101,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Santa Rita do Pardo;0,0;0,0;0,0;0,0;49,1;0,0;48,3;46,3;48,2;46,7;46,3;47,5;47,2;46,9;91,6;91,0;90,4;89,8;89,2;88,5
São Gabriel do Oeste;80,2;77,7;95,1;94,6;94,3;91,8;96,9;100,0;100,0;81,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Sete Quedas;0,0;0,0;0,0;62,1;62,2;62,4;76,0;100,0;97,1;94,4;94,5;96,0;96,1;96,2;95,2;95,4;95,6;95,7;95,9;31,9
Selvíria;55,4;110,6;97,4;97,4;97,3;97,1;97,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Sidrolândia;28,7;39,9;49,5;46,3;54,4;51,3;58,3;100,0;99,5;95,7;100,0;100,0;100,0;99,8;93,4;90,2;87,3;84,7;82,2;73,8
Sonora;0,0;33,5;63,6;60,5;57,8;83,0;79,6;84,5;82,5;79,7;77,6;69,8;67,9;66,2;83,4;100,0;98,7;96,1;93,8;91,6
Tacuru;0,0;0,0;37,4;36,8;36,3;35,7;70,4;35,2;75,0;72,8;72,2;67,5;66,8;66,1;64,0;94,9;93,8;92,7;91,7;90,6
Taquarussu;0,0;0,0;94,3;91,7;88,8;88,8;96,6;100,0;100,0;100,0;100,0;98,1;98,0;98,0;100,0;100,0;100,0;96,6;100,0;100,0
Terenos;0,0;0,0;52,8;25,3;24,3;23,4;45,2;80,3;95,4;92,3;90,3;80,5;98,2;96,0;91,1;88,8;86,6;84,6;82,7;80,9
Três Lagoas;4,3;4,1;12,1;11,8;30,6;29,9;25,5;31,7;32,1;31,2;46,3;27,1;46,7;45,9;47,2;30,9;45,5;41,8;44,1;46,2
Vicentina;0,0;0,0;58,2;58,1;58,0;58,0;57,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Mato Grosso do Sul;9,0;17,6;31,1;34,9;43,0;44,6;46,4;52,3;57,9;58,3;60,5;60,0;62,0;64,6;65,5;66,8;67,5;67,5;69,9;68,2
Centro-Oeste;17,6;26,6;36,9;37,4;40,1;42,5;44,5;39,5;49,0;49,9;52,9;53,9;54,2;55,9;57,8;58,7;58,9;58,1;63,1;63,2
Brasil;14,8;20,9;29,4;33,1;37,1;40,3;44,7;41,7;50,4;50,8;52,4;53,8;55,1;56,3;59,7;61,6;62,8;62,5;64,7;63,8
** - Sem informação.;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
PROADESS - Projeto de Avaliação do Desempenho do Sistema de Saúde;;;;;;;;;;;;;;;;;;;;
URL: https://www.proadess.icict.fiocruz.br/;;;;;;;;;;;;;;;;;;;;
