Percentual da população coberta pela Estratégia Saúde da Família (ESF) - Municípios da UF: Espírito Santo;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Itaguaçu;0,0;0,0;92,4;92,5;92,5;92,6;46,3;22,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;97,7;100,0;69,8;100,0;83,1
Itapemirim;0,0;0,0;0,0;0,0;0,0;11,2;44,3;42,1;55,9;53,3;52,7;44,5;44,2;43,9;71,9;71,1;70,5;69,8;69,7;71,0
Itarana;0,0;0,0;88,3;88,6;88,9;89,1;89,4;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;91,9;100,0;100,0
Iúna;25,6;12,7;37,9;37,7;49,9;49,6;49,2;36,4;81,1;78,9;78,9;75,7;75,5;75,2;70,7;70,4;70,0;58,0;69,2;71,3
Jaguaré;0,0;87,5;93,1;91,6;90,3;88,0;89,3;64,5;100,0;89,5;58,8;55,9;82,6;81,3;75,0;73,6;84,3;82,8;81,5;80,8
Jerônimo Monteiro;32,8;95,2;96,8;96,9;97,3;96,4;99,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;57,7;86,0;88,1
João Neiva;87,5;87,0;86,5;64,5;85,6;85,1;84,7;82,9;71,9;93,9;47,2;43,6;65,3;78,2;91,0;73,3;100,0;92,8;92,4;100,0
Laranja da Terra;0,0;89,4;91,6;91,5;91,4;91,3;98,0;0,0;100,0;100,0;100,0;100,0;100,0;63,8;100,0;60,4;60,3;60,3;90,3;94,4
Linhares;0,0;0,0;22,5;21,9;21,4;20,8;40,7;36,5;49,9;60,6;62,4;58,6;64,9;64,0;56,8;57,9;54,8;55,9;61,2;60,8
Mantenópolis;82,3;91,1;80,0;0,0;77,9;87,2;82,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;91,3;100,0;100,0;100,0
Marataízes;0,0;0,0;0,0;0,0;20,7;20,4;20,2;18,9;44,2;74,6;74,3;60,6;70,2;69,6;65,0;64,3;63,7;72,1;71,4;72,4
Marechal Floriano;0,0;0,0;95,2;95,8;96,0;94,3;98,7;73,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Marilândia;94,2;93,4;95,3;94,8;94,3;93,1;94,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;82,9;54,8;100,0
Mimoso do Sul;63,8;94,7;97,5;98,4;99,1;99,0;102,8;24,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Montanha;0,0;19,3;76,7;94,4;93,4;92,9;93,8;0,0;95,8;92,1;91,5;96,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Mucurici;108,1;111,1;99,4;99,3;100,4;100,6;107,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Muniz Freire;94,6;85,4;85,8;97,9;98,1;99,4;98,8;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;54,7;100,0;100,0;78,4
Muqui;73,4;88,6;95,3;94,9;94,3;95,5;95,4;100,0;100,0;100,0;100,0;100,0;100,0;95,1;100,0;100,0;100,0;100,0;100,0;100,0
Nova Venécia;0,0;7,7;7,6;7,6;15,0;29,7;14,7;37,8;38,9;37,4;37,2;45,0;52,2;59,4;55,7;62,2;61,7;61,3;67,7;76,2
Pancas;92,9;91,3;95,1;94,2;93,2;92,5;92,8;100,0;100,0;100,0;100,0;96,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Pedro Canário;0,0;0,0;0,0;0,0;0,0;72,3;28,6;30,8;29,7;28,5;42,4;43,5;43,2;43,0;40,3;39,9;39,6;39,3;52,0;79,7
Pinheiros;0,0;46,4;76,3;93,0;89,0;73,2;57,8;97,0;76,1;87,5;86,7;100,0;85,9;99,4;92,8;91,8;90,8;89,9;89,0;90,2
Piúma;0,0;0,0;96,7;97,6;98,7;96,7;97,8;90,3;100,0;100,0;100,0;95,2;93,9;100,0;100,0;100,0;100,0;98,4;97,0;0,0
Ponto Belo;106,8;105,4;95,0;94,2;93,4;95,7;97,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;90,9;100,0;100,0;100,0;100,0;100,0
Presidente Kennedy;0,0;0,0;95,1;94,3;93,5;92,6;92,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Rio Bananal;82,0;96,8;95,5;95,3;95,0;94,1;94,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Rio Novo do Sul;0,0;0,0;97,8;98,5;99,3;99,1;102,3;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Santa Leopoldina;0,0;0,0;98,1;99,1;100,1;100,1;53,6;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Santa Maria de Jetibá;0,0;34,2;44,6;43,7;42,8;42,0;51,5;52,5;75,8;72,2;71,2;70,7;69,8;88,7;82,3;90,1;97,7;96,3;100,0;100,0
Santa Teresa;0,0;0,0;47,9;47,5;47,2;62,4;46,4;65,1;68,4;66,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
São Domingos do Norte;0,0;0,0;0,0;0,0;0,0;0,0;0,0;41,4;100,0;100,0;100,0;100,0;100,0;85,5;100,0;79,8;100,0;78,7;100,0;100,0
