Percentual da população coberta pela Estratégia Saúde da Família (ESF) - Municípios da UF: Rio de Janeiro;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Japeri;8,1;0,0;3,9;3,9;3,8;0,0;0,0;0,0;0,0;0,0;0,0;21,7;30,8;30,5;56,1;55,7;44,9;27,4;40,9;39,8
Laje do Muriaé;0,0;0,0;99,5;101,0;102,4;103,2;89,1;0,0;100,0;100,0;100,0;100,0;100,0;100,0;93,4;100,0;100,0;100,0;100,0;100,0
Macaé;30,4;28,6;31,6;34,3;45,1;47,1;49,1;32,2;55,0;53,0;44,4;41,7;40,6;39,6;38,4;39,1;38,2;38,9;41,0;43,9
Macuco;68,6;68,2;67,8;67,4;67,0;0,0;66,3;78,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Magé;0,0;0,0;25,6;25,4;25,2;42,2;55,8;53,9;75,8;85,9;84,7;94,1;94,9;94,3;83,1;79,7;85,2;73,0;58,1;58,1
Mangaratiba;0,0;0,0;0,0;0,0;0,0;0,0;73,7;80,3;94,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;99,6;97,6;94,8
Maricá;17,5;16,3;15,3;14,4;30,7;29,3;28,0;41,8;42,6;40,5;41,9;40,6;42,0;40,9;44,5;43,4;47,1;48,3;56,4;80,9
Mendes;0,0;0,0;57,9;96,3;96,2;96,1;98,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Mesquita;**;0,0;0,0;0,0;0,0;0,0;14,4;13,0;26,5;25,7;25,4;28,7;28,6;26,5;34,5;34,4;38,4;38,3;41,4;52,2
Miguel Pereira;28,1;28,0;84,0;100,8;102,5;97,8;83,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;83,4;97,3;69,4;100,0;100,0;100,0
Miracema;0,0;0,0;12,5;37,6;75,4;75,6;75,9;0,0;78,9;77,0;77,2;77,1;77,2;77,2;77,3;90,4;90,6;100,0;100,0;100,0
Natividade;0,0;44,5;89,2;98,7;99,3;99,6;100,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Nilópolis;6,5;10,9;10,9;10,9;10,9;10,9;30,5;0,0;44,9;43,4;43,3;43,8;63,4;65,5;65,4;65,4;65,4;65,4;65,4;59,5
Niterói;47,5;47,2;47,0;61,3;65,3;65,1;75,6;67,3;67,7;78,0;79,2;75,0;58,5;57,5;63,5;65,5;65,3;65,1;67,1;64,7
Nova Friburgo;15,5;15,4;17,3;17,3;17,2;21,0;20,9;27,1;29,2;29,0;29,0;22,7;22,7;26,3;24,4;33,7;31,7;29,8;46,5;38,1
Nova Iguaçu;7,3;8,8;11,0;10,9;12,2;12,2;20,4;20,4;22,4;23,4;23,9;26,0;25,9;27,5;25,3;35,9;35,0;36,3;50,1;50,6
