Percentual da população coberta pela Estratégia Saúde da Família (ESF) - Municípios da UF: Pará;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Castanhal;37,3;36,3;49,6;69,1;67,4;65,9;83,7;84,9;90,7;86,7;89,7;87,7;88,2;86,7;84,4;83,1;81,8;82,4;86,6;83,5
Chaves;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,4;16,2;16,0;47,0;46,4;30,6;45,4;59,8;44,1
Colares;31,5;31,3;93,5;93,1;92,6;92,2;91,8;56,0;94,3;91,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Conceição do Araguaia;15,4;15,4;46,0;0,0;30,5;30,4;30,4;46,6;68,6;73,5;73,0;75,7;75,5;75,2;89,6;89,4;89,2;96,5;96,3;86,7
Concórdia do Pará;0,0;0,0;0,0;0,0;0,0;0,0;13,4;27,4;48,3;77,9;77,5;61,1;71,9;70,6;68,5;78,4;77,0;64,9;74,5;73,5
Cumaru do Norte;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;99,0;91,2;87,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Curionópolis;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;97,1;95,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Curralinho;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,6;25,7;25,1;48,3;47,3;46,2;44,6;43,7;42,8;42,0;41,2;40,7
Curuá;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;28,9;27,3;26,6;0,0;27,6;27,1;52,7;100,0;100,0;100,0;98,6;100,0
Curuçá;38,4;37,3;36,2;35,3;34,4;33,5;32,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;94,4;100,0;100,0;98,9;97,4;87,3
