Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Piauí;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Brasileira;5,4;11,6;8,9;14,0;7,1;10,4;21,9;26,2;43,4;39,5;44,0;41,2;42,2;46,2;62,2;64,6;61,0;60,0;56,5;67,0
Brejo do Piauí;47,3;49,3;60,0;69,4;62,4;51,3;53,4;19,7;36,5;26,7;37,1;45,8;75,0;58,7;64,4;70,2;76,5;79,5;65,2;68,3
Buriti dos Lopes;8,3;8,9;3,3;10,0;18,3;15,3;33,4;39,2;24,2;23,3;23,4;28,4;35,4;39,0;42,7;43,1;44,3;45,7;45,7;52,5
Buriti dos Montes;10,9;9,1;7,7;8,7;19,1;13,3;29,5;42,1;51,5;35,6;35,6;29,9;44,1;59,5;61,1;63,2;66,2;75,6;84,6;77,8
Cabeceiras do Piauí;22,4;24,7;26,8;33,3;38,9;50,4;42,4;54,0;59,7;63,9;66,1;55,8;65,2;62,8;63,6;68,6;78,2;60,4;76,6;70,0
Cajazeiras do Piauí;0,0;**;19,4;15,4;21,6;33,3;40,8;34,1;25,0;15,2;15,2;35,0;28,2;52,0;43,2;73,2;72,1;78,9;69,4;60,0
Cajueiro da Praia;**;9,5;7,1;4,8;11,7;12,0;26,1;24,1;19,0;19,2;21,1;27,3;41,7;50,0;38,5;49,5;53,4;42,7;42,2;50,9
Caldeirão Grande do Piauí;15,9;12,8;16,9;23,0;28,2;39,5;42,2;55,3;64,1;64,5;65,1;60,7;76,7;68,5;78,6;81,6;85,9;84,6;88,2;89,6
Campinas do Piauí;11,0;11,9;25,0;16,7;18,5;29,6;37,2;30,8;31,2;39,1;25,9;52,8;53,1;50,7;54,2;52,6;46,9;73,2;68,5;79,3
Campo Alegre do Fidalgo;0,0;**;8,8;12,8;10,4;7,1;13,9;40,2;33,0;35,1;56,2;67,5;82,9;74,2;76,8;77,6;82,8;83,3;87,0;85,1
Campo Grande do Piauí;16,1;**;7,1;0,0;20,2;20,4;33,8;52,3;45,3;66,7;43,2;36,2;45,9;35,2;51,4;69,7;74,5;71,2;69,9;84,6
Campo Largo do Piauí;14,1;7,5;15,9;12,2;7,2;17,2;30,1;34,3;40,5;33,9;29,6;35,5;27,6;43,7;47,4;52,8;57,9;37,5;57,8;63,2
Campo Maior;54,6;51,4;48,5;29,2;48,7;50,4;47,8;63,5;60,8;57,0;58,4;40,0;42,1;44,3;44,4;57,6;59,3;58,2;56,0;65,5
Canavieira;**;33,7;30,9;33,3;34,4;18,1;12,9;20,0;22,2;26,4;29,3;18,5;33,3;42,9;32,6;61,4;48,4;53,2;49,0;60,0
Canto do Buriti;48,0;45,1;44,1;62,3;49,2;59,5;55,0;30,4;49,3;33,8;30,3;47,1;48,2;52,3;54,8;57,4;59,2;64,2;74,8;69,5
Capitão de Campos;25,0;25,8;22,2;14,8;20,0;28,5;40,1;58,7;56,1;47,0;62,7;55,4;61,7;62,7;69,8;80,0;85,9;82,7;86,1;89,1
Capitão Gervásio Oliveira;0,0;10,8;**;6,0;14,7;14,9;**;33,3;33,3;29,3;19,0;29,8;31,8;37,0;62,7;69,4;67,7;70,8;80,8;73,2
Caracol;38,4;31,1;31,0;23,1;27,2;23,9;30,7;44,3;42,0;40,3;55,2;58,4;63,4;65,9;67,3;70,1;76,1;69,7;72,4;72,0
Caraúbas do Piauí;0,0;5,9;**;10,4;15,9;10,8;23,8;29,0;25,0;16,5;29,8;30,4;50,5;45,7;42,5;43,3;51,3;44,9;58,1;68,1
Caridade do Piauí;**;12,7;7,6;**;**;8,3;19,1;29,2;36,7;32,2;49,0;45,8;59,5;45,9;65,3;71,6;68,3;65,9;66,1;82,3
Castelo do Piauí;10,5;8,8;8,2;14,8;20,7;32,2;53,0;45,6;52,2;47,5;49,7;61,3;66,0;64,0;67,2;71,3;70,9;69,2;70,7;68,7
Caxingó;**;**;5,4;10,2;14,3;20,2;26,5;34,4;17,4;10,7;18,7;38,1;47,3;55,2;65,3;64,0;64,4;56,1;60,7;70,4
Cocal;1,8;6,1;5,3;5,2;7,3;9,4;25,0;27,9;21,5;24,5;35,1;38,7;41,1;49,5;50,9;59,3;67,7;64,4;69,4;70,6
Cocal de Telha;54,2;37,5;44,4;37,9;56,4;43,0;53,0;64,1;73,1;56,8;51,2;47,8;54,7;51,4;58,7;67,7;74,7;56,1;74,5;73,6
Cocal dos Alves;8,2;**;13,8;11,8;8,3;16,1;20,4;25,7;27,6;23,0;29,3;33,0;32,6;39,8;45,3;57,1;56,5;65,6;65,8;76,3
Coivaras;20,6;35,9;28,6;23,5;35,8;41,2;41,3;42,2;68,8;48,4;46,6;48,2;45,8;65,3;57,1;53,2;54,9;50,0;70,9;63,5
Colônia do Gurguéia;36,8;11,2;21,1;22,3;29,8;34,7;30,8;34,2;55,1;46,3;55,2;56,4;50,6;54,8;70,7;66,7;72,8;69,1;71,7;86,8
Colônia do Piauí;**;0,0;10,8;26,9;28,6;37,4;26,2;36,2;37,6;31,3;35,3;54,5;63,0;64,1;56,4;61,2;57,0;61,8;74,1;70,5
Conceição do Canindé;11,7;19,6;12,0;15,2;7,1;32,6;19,7;25,7;20,0;37,7;50,7;67,6;69,4;57,3;63,9;77,6;78,3;89,6;71,0;77,1
Coronel José Dias;45,0;30,4;35,4;31,4;37,1;24,1;26,0;50,8;42,6;54,8;51,1;34,0;50,0;62,3;62,9;67,9;69,2;55,1;74,0;62,5
Corrente;44,2;29,7;8,6;13,3;3,8;4,0;6,8;24,2;19,4;19,4;27,0;32,4;37,7;29,8;46,9;50,6;51,5;51,1;57,3;57,7
Cristalândia do Piauí;27,5;18,5;11,7;13,1;26,4;48,6;25,4;13,3;25,9;24,2;41,4;53,6;47,8;40,0;63,7;65,7;61,4;64,9;62,1;68,1
Cristino Castro;25,3;21,3;24,4;19,9;18,7;27,7;39,0;40,2;43,9;41,6;45,8;55,6;61,6;59,1;55,2;54,6;57,5;65,8;77,0;67,0
Curimatá;4,1;8,5;13,9;10,9;15,1;11,2;16,3;13,6;15,7;28,2;31,4;50,7;51,6;46,4;53,3;62,5;64,4;57,5;54,3;63,4
Currais;15,9;16,1;20,2;18,6;19,4;14,9;17,1;12,7;20,9;23,2;30,3;42,2;46,8;48,1;36,4;57,0;60,0;60,0;60,8;59,2
Curralinhos;**;0,0;**;25,7;17,2;37,5;45,5;48,8;63,0;46,6;40,6;40,7;54,1;46,0;33,9;42,7;35,3;48,5;56,1;61,4
Curral Novo do Piauí;9,4;**;**;8,2;10,7;23,8;34,8;18,8;21,9;19,0;29,3;48,8;55,0;55,1;60,0;47,8;49,3;53,4;60,0;66,7
Demerval Lobão;19,2;31,5;28,3;35,6;38,3;49,8;62,8;50,7;61,5;31,3;36,0;45,3;35,7;49,7;52,7;60,3;56,3;58,0;61,5;67,4
