Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Tocantins;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Centenário;**;11,5;**;19,6;19,0;11,6;26,7;26,8;15,2;46,5;40,6;62,5;52,2;60,0;26,7;41,7;50,0;72,0;52,0;73,1
Chapada de Areia;**;**;**;42,9;47,1;**;39,1;47,4;41,2;**;52,0;44,0;52,4;58,8;66,7;71,4;76,9;70,0;84,2;66,7
Chapada da Natividade;10,2;34,1;15,9;21,0;17,9;31,2;33,3;39,1;39,0;59,2;50,8;59,3;69,8;78,0;70,7;61,4;62,2;67,6;83,3;76,7
Colinas do Tocantins;22,2;20,5;13,9;16,6;19,1;20,7;24,3;22,2;18,6;52,2;46,7;42,7;49,1;53,3;56,4;62,0;66,3;60,2;67,3;75,2
Combinado;67,6;77,6;76,9;73,9;83,5;52,0;74,7;68,1;57,0;41,1;44,1;46,8;44,6;57,5;66,1;62,0;62,2;71,8;67,9;70,9
Conceição do Tocantins;8,0;38,5;25,3;24,7;30,3;28,1;27,3;54,3;23,9;37,8;32,0;36,0;40,3;47,9;54,7;45,8;52,8;63,3;61,5;80,0
Couto Magalhães;35,8;25,7;17,9;14,7;27,0;20,8;33,8;39,2;29,7;32,9;41,4;55,4;67,9;58,5;66,7;45,6;61,1;70,0;59,5;67,2
Cristalândia;34,4;42,3;49,4;63,9;62,6;41,9;46,2;35,2;45,0;56,4;49,2;55,9;53,7;70,5;69,6;61,4;67,1;78,6;74,1;69,4
Crixás do Tocantins;**;31,6;26,1;38,1;39,3;36,4;31,3;68,8;47,1;70,6;73,9;70,8;68,0;65,4;85,7;29,2;69,6;70,8;75,0;88,2
Darcinópolis;7,2;9,4;12,5;14,8;27,1;39,3;33,3;34,0;45,5;46,3;52,8;38,8;50,5;52,6;68,9;52,3;51,3;52,7;53,8;64,6
Dianópolis;34,3;26,7;29,5;25,9;38,8;43,0;37,3;45,9;30,1;49,6;47,7;44,3;50,3;55,6;56,9;58,0;58,4;58,7;56,9;66,8
Divinópolis do Tocantins;13,0;13,3;20,8;32,5;37,7;23,4;33,6;32,5;31,5;41,1;53,6;69,2;72,7;76,8;74,5;82,5;79,1;82,6;74,3;85,6
Dois Irmãos do Tocantins;36,5;42,4;56,4;40,7;51,1;39,2;34,2;29,6;41,0;17,9;35,1;50,7;59,3;81,8;78,6;72,2;81,9;79,7;72,5;60,5
Dueré;31,1;34,3;34,6;31,9;38,5;28,4;48,0;50,6;52,8;53,2;53,3;67,1;67,1;60,3;70,0;75,4;76,5;75,9;83,3;82,0
Esperantina;14,9;14,4;12,7;19,9;14,2;15,7;27,0;27,0;17,6;16,8;13,6;15,9;46,0;38,1;32,6;48,8;46,1;43,4;60,7;54,5
Fátima;22,6;26,5;34,5;33,3;44,0;47,1;57,6;58,2;63,3;29,1;45,8;56,4;70,4;59,6;56,9;56,4;56,3;60,9;67,4;65,2
Figueirópolis;45,2;51,4;33,3;32,3;42,5;46,2;63,0;49,3;77,6;59,5;60,9;61,3;61,8;52,1;62,0;60,8;57,7;59,2;57,7;73,5
Filadélfia;9,3;13,3;11,6;19,2;23,0;25,7;26,8;23,5;25,4;26,1;19,2;19,4;29,6;39,7;49,2;40,4;37,9;48,1;50,0;66,7
Formoso do Araguaia;61,3;55,2;53,4;45,0;50,6;49,6;50,9;64,1;56,0;59,2;61,5;56,8;54,4;51,6;51,3;55,1;60,0;55,2;56,8;57,4
