Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Pará;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Castanhal;14,0;15,1;13,0;18,7;24,7;32,5;41,8;54,8;20,3;18,9;32,3;65,2;60,8;59,9;59,7;60,2;59,3;60,2;63,6;66,8
Chaves;**;3,8;3,6;3,4;**;5,3;4,4;5,3;6,9;3,1;5,3;5,6;5,3;10,3;11,7;12,1;8,1;10,2;6,9;17,3
Colares;45,5;56,4;52,2;50,5;39,8;54,1;44,4;35,8;21,8;28,3;25,6;28,3;43,7;23,9;33,0;48,4;50,3;47,0;50,5;38,2
Conceição do Araguaia;26,0;15,5;16,7;29,8;43,9;36,4;33,5;31,6;32,1;30,4;33,6;30,7;44,4;42,0;39,9;41,0;46,7;45,7;40,7;43,6
Concórdia do Pará;18,1;19,8;13,8;10,8;12,1;9,8;8,1;7,2;8,9;10,9;12,4;22,8;27,9;25,8;28,1;34,1;31,4;28,1;37,0;34,8
Cumaru do Norte;0,0;**;13,3;34,6;27,3;11,6;12,2;10,8;12,4;15,0;22,9;24,3;23,8;17,1;30,7;25,4;27,8;33,7;41,1;46,0
Curionópolis;10,6;11,6;4,0;54,8;57,9;27,3;22,1;12,9;35,8;30,9;62,2;35,3;39,3;41,9;50,1;77,5;74,4;53,4;56,2;58,3
Curralinho;9,6;12,7;7,5;8,9;7,9;6,5;8,8;8,2;10,6;14,0;25,0;23,6;21,4;27,5;34,0;31,0;27,4;20,1;31,3;35,9
Curuá;4,9;2,5;2,8;4,5;4,6;5,7;5,0;11,0;13,7;10,7;12,7;42,1;32,7;30,9;40,9;47,1;49,0;50,0;48,3;57,3
Curuçá;10,6;25,4;21,5;21,4;25,1;37,1;46,3;44,3;22,9;11,2;20,1;41,5;37,1;41,7;47,4;54,6;41,9;48,9;49,0;42,2
Dom Eliseu;8,7;7,9;9,7;15,3;14,3;19,3;15,3;16,4;15,0;14,2;15,7;17,4;31,0;45,3;47,5;46,3;41,3;40,5;54,6;55,5
Eldorado do Carajás;14,4;11,0;6,5;12,1;18,9;8,5;9,7;10,7;9,9;5,9;10,2;15,9;18,7;25,3;27,6;31,3;27,9;35,1;25,1;32,1
Faro;14,2;33,3;28,1;34,2;19,5;12,3;24,2;21,6;15,8;21,4;20,7;24,4;32,0;30,4;29,9;33,9;23,1;34,6;28,2;37,1
Floresta do Araguaia;16,0;23,0;26,9;22,6;23,7;15,8;18,8;17,7;10,9;16,9;14,6;14,7;19,8;36,8;46,3;46,5;44,3;33,2;23,7;35,5
Garrafão do Norte;3,5;6,1;10,8;20,0;11,0;7,5;12,3;21,2;21,6;15,9;21,3;23,3;28,1;38,2;47,8;56,8;53,8;58,9;63,8;72,5
Goianésia do Pará;10,9;23,4;42,1;37,1;14,3;10,7;16,0;15,4;6,1;7,5;8,5;11,2;13,9;21,6;35,3;27,1;35,0;29,7;43,8;48,6
Gurupá;42,0;38,6;30,9;9,4;13,1;11,9;11,2;9,3;7,1;15,9;17,7;15,0;14,5;12,8;19,7;31,8;27,9;31,0;27,7;30,7
Igarapé-Açu;9,7;14,1;13,1;17,6;17,6;22,3;35,4;37,4;15,5;12,4;39,4;71,0;67,1;58,3;65,9;75,5;64,9;70,9;60,6;71,6
Igarapé-Miri;11,2;10,3;7,5;7,8;16,2;17,7;13,4;19,2;18,7;18,9;33,0;38,4;44,2;56,8;50,9;47,6;44,8;33,5;42,6;35,8
Inhangapi;8,6;10,0;8,3;18,0;17,3;29,0;37,4;60,5;12,4;16,7;24,1;68,7;57,5;56,3;58,4;55,4;46,3;38,9;51,9;61,7
Ipixuna do Pará;17,8;18,2;20,5;11,7;19,2;23,7;23,6;25,5;19,6;26,4;25,6;26,8;32,5;33,9;29,7;32,8;27,9;30,0;42,5;42,8
Irituia;11,0;22,7;34,8;53,6;32,8;12,7;25,3;18,6;13,9;10,6;20,1;34,5;38,3;39,9;55,4;52,2;47,6;49,8;50,9;55,5
Itaituba;20,8;14,3;13,1;16,5;16,6;17,6;20,8;13,8;18,6;24,2;19,8;29,2;35,6;33,0;33,7;35,6;46,6;51,4;53,1;52,3
