Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Pernambuco;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Calçado;30,5;35,2;31,1;32,3;30,5;26,9;33,3;45,2;41,1;33,3;49,7;69,7;75,8;77,7;77,5;78,7;76,9;77,9;83,8;89,1
Calumbi;0,0;0,0;**;**;6,5;7,2;5,0;7,0;12,8;39,1;40,6;38,9;29,5;45,2;81,9;75,3;79,8;57,0;74,6;76,6
Camaragibe;39,0;38,2;38,2;52,9;54,1;52,4;59,1;62,9;61,9;63,8;63,0;60,9;59,4;58,3;58,5;56,0;55,9;63,1;64,9;68,1
Camocim de São Félix;49,9;44,3;47,6;54,5;48,2;38,5;44,3;50,2;45,5;50,7;54,1;52,9;63,3;69,2;60,2;76,0;73,7;75,7;74,6;84,3
Camutanga;46,5;41,8;61,4;42,9;50,0;54,5;42,5;30,8;42,6;38,7;45,9;51,2;61,5;53,9;58,8;85,2;83,0;78,8;76,7;78,5
Canhotinho;12,9;21,3;27,4;29,8;24,0;26,2;40,8;49,1;45,0;47,8;53,1;61,8;64,1;65,8;67,6;68,4;67,9;70,0;77,2;74,6
Capoeiras;20,7;22,3;36,1;35,0;36,8;28,9;25,3;28,6;29,0;43,6;45,7;54,5;67,0;62,6;70,2;70,5;69,0;80,3;77,5;86,9
Carnaíba;12,4;11,3;11,7;9,7;14,7;20,9;27,1;21,6;33,6;48,3;46,8;73,6;75,5;86,1;85,6;82,3;85,6;83,6;87,3;88,5
Carnaubeira da Penha;19,5;19,3;15,0;18,9;14,2;9,1;13,8;16,9;12,9;33,0;27,9;39,9;48,5;54,5;70,5;80,8;85,3;77,9;77,7;80,3
Carpina;55,7;47,6;45,8;46,4;46,1;42,5;43,4;49,9;55,2;55,0;55,0;52,1;43,9;48,4;58,6;60,6;65,5;69,1;79,3;76,4
Caruaru;42,0;48,2;51,0;54,8;61,6;57,8;57,6;60,1;62,3;59,3;57,9;56,5;57,1;62,1;69,9;72,8;68,5;69,2;71,6;74,3
Casinhas;12,6;12,5;12,4;17,9;22,5;31,2;29,2;40,9;52,1;49,5;47,0;58,3;70,8;75,1;85,5;86,0;81,6;86,8;88,3;84,7
Catende;29,7;50,1;50,1;42,3;54,2;43,4;49,7;45,0;45,4;47,7;45,2;47,4;49,7;60,7;55,1;57,2;61,7;65,0;70,9;70,6
Cedro;22,8;34,4;40,7;39,4;40,9;32,0;26,7;36,4;46,5;58,7;60,2;76,0;62,4;73,9;73,5;83,1;84,9;84,4;84,6;89,1
Chã de Alegria;29,5;29,2;28,5;42,1;43,8;31,6;50,9;57,8;51,2;62,0;65,6;57,4;45,4;57,8;65,3;65,2;72,2;69,3;75,0;70,8
Chã Grande;22,7;27,7;39,6;28,5;27,5;29,7;38,6;37,8;52,8;46,3;50,4;45,4;33,9;49,3;53,4;63,2;54,4;46,0;72,1;74,3
Condado;38,2;30,5;47,9;38,1;37,9;42,5;40,8;43,2;45,4;53,0;42,1;47,5;59,0;61,2;56,7;63,0;69,4;62,4;68,9;69,5
Correntes;17,3;17,3;25,2;23,6;24,2;33,9;36,0;41,7;43,7;45,7;45,7;61,4;66,1;74,1;67,1;71,9;67,3;72,7;68,8;74,2
Cortês;24,0;25,8;26,9;30,9;33,3;17,0;28,7;28,0;45,8;33,2;39,9;44,1;54,7;58,6;55,3;66,9;66,8;75,1;83,2;80,6
Cumaru;7,9;28,7;30,8;33,5;38,6;30,4;33,5;37,7;47,0;46,1;66,0;75,9;71,6;78,0;76,1;79,9;79,7;77,8;75,4;78,1
Cupira;18,4;19,7;23,6;24,5;35,2;35,5;59,3;47,9;44,9;40,2;49,7;65,8;64,1;67,4;69,4;71,5;68,1;71,8;76,7;78,4
Custódia;22,9;22,9;14,9;21,4;27,6;22,0;26,7;25,9;31,0;47,0;57,7;61,3;63,8;64,0;70,9;63,8;71,6;78,1;80,2;80,5
