Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Maranhão;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Bom Lugar;78,3;80,3;57,7;33,7;28,5;26,8;8,3;4,8;7,9;5,0;5,9;22,8;28,1;24,3;32,2;40,1;37,3;29,7;35,1;41,7
Brejo;2,9;40,4;12,4;16,6;16,5;39,6;32,5;72,0;80,9;8,1;5,6;28,0;28,1;12,1;13,6;17,2;18,3;34,3;39,8;44,2
Brejo de Areia;15,7;14,3;11,1;10,1;10,8;14,3;5,4;3,8;4,9;3,8;**;15,3;24,3;23,4;31,6;45,5;32,0;31,6;44,4;51,0
Buriti;16,2;29,7;19,9;16,1;12,4;27,5;32,0;27,8;26,5;23,0;42,8;54,8;46,6;47,2;51,7;49,6;45,2;51,0;52,8;48,1
Buriti Bravo;5,9;8,8;9,4;10,7;8,7;20,9;27,4;22,8;18,4;11,0;17,3;18,2;22,5;20,5;33,2;39,0;57,2;55,9;65,2;64,5
Buriticupu;8,2;3,0;3,2;2,5;4,4;4,9;6,6;8,6;15,6;19,5;20,2;28,0;26,4;23,6;33,3;33,9;40,9;41,9;44,5;50,2
Buritirana;11,1;14,3;25,5;22,5;37,6;46,7;52,8;22,9;11,6;15,8;14,7;23,3;24,2;31,7;51,4;56,7;46,0;50,7;60,6;70,6
Cachoeira Grande;0,0;13,8;19,8;32,0;10,8;13,9;10,2;15,4;16,2;12,4;15,4;19,4;16,5;12,3;16,8;24,1;31,7;27,4;35,0;33,3
Cajapió;12,5;27,1;24,7;20,5;9,0;3,3;11,7;23,7;13,8;22,3;32,9;43,8;35,1;23,1;24,7;23,8;39,8;17,2;47,9;64,1
Cajari;14,1;11,1;8,7;17,8;11,5;4,9;8,8;7,2;5,8;7,5;13,9;13,9;19,3;11,3;13,3;15,2;23,2;26,0;31,5;31,9
Campestre do Maranhão;11,8;10,7;5,7;4,9;7,4;7,2;20,9;27,7;26,6;36,1;25,5;39,6;46,4;45,9;62,7;74,5;74,1;70,4;72,0;81,6
Cândido Mendes;**;17,5;8,5;13,1;9,7;12,7;7,2;15,7;18,6;12,3;14,9;16,9;14,0;13,6;41,3;53,5;42,6;47,2;47,3;45,7
Cantanhede;11,4;9,1;14,8;3,0;43,2;86,8;96,9;92,9;94,0;38,4;36,2;42,7;45,9;39,6;46,8;43,8;47,1;41,7;59,8;55,4
Capinzal do Norte;16,5;20,6;19,7;16,3;23,1;28,3;24,7;26,7;22,3;20,0;31,8;26,5;54,0;62,9;53,3;38,3;45,5;46,5;53,3;61,4
Carolina;4,7;7,8;6,6;7,2;13,0;13,6;18,0;12,7;20,0;24,2;18,6;15,0;22,2;32,1;34,0;35,1;39,4;47,6;54,0;58,9
Carutapera;3,6;1,2;4,9;7,2;5,6;9,2;10,1;15,2;21,1;17,8;25,3;25,3;21,1;8,1;26,1;33,7;39,2;45,4;53,1;63,9
Caxias;9,6;10,9;11,2;12,8;13,8;14,5;12,7;14,6;17,2;16,2;16,3;22,9;33,6;36,3;36,7;32,8;36,6;31,9;56,6;61,2
Cedral;**;**;16,0;14,8;18,8;13,4;19,5;26,2;28,1;52,6;38,5;21,6;23,4;67,9;72,7;66,4;84,2;44,4;71,2;60,8
Central do Maranhão;16,3;7,3;4,1;11,7;10,3;9,9;18,6;28,1;39,6;12,0;17,4;18,3;14,9;5,9;10,5;16,5;21,5;65,7;66,5;74,0
Centro do Guilherme;0,0;**;8,2;2,8;24,0;16,7;10,6;10,7;5,3;12,7;26,9;24,1;30,8;33,5;43,4;42,6;48,9;45,5;44,1;30,0
Centro Novo do Maranhão;**;**;9,7;7,5;12,2;14,4;15,0;16,7;8,5;14,2;16,5;21,3;31,0;30,9;32,2;34,0;35,8;43,1;53,2;31,6
Chapadinha;9,7;10,7;22,8;31,4;45,5;5,6;6,5;11,2;12,7;15,9;16,5;30,1;28,7;35,1;37,8;46,0;46,2;42,9;49,6;53,8
Cidelândia;16,1;18,3;42,9;18,4;15,6;21,7;38,6;12,9;17,7;12,1;15,2;28,6;32,7;28,6;36,8;40,8;40,9;48,3;51,7;52,4
Codó;2,0;3,1;9,6;19,7;12,4;37,1;43,8;39,9;39,4;8,5;10,9;28,8;31,4;23,7;28,5;28,8;28,4;34,7;40,9;47,0
Coelho Neto;27,8;26,0;26,5;25,9;15,9;22,7;23,5;27,9;25,6;40,6;43,0;50,1;45,8;45,4;48,9;56,5;71,2;63,9;74,1;77,0
Colinas;16,2;23,5;16,3;10,2;8,4;13,5;4,8;11,9;10,7;4,8;10,8;15,7;31,5;29,0;31,5;30,3;38,2;40,9;51,0;53,4
Conceição do Lago-Açu;64,3;32,3;38,2;29,0;19,8;17,8;4,0;5,4;7,4;3,2;**;11,6;12,2;11,6;16,2;36,6;33,3;32,6;37,8;45,2
Coroatá;1,0;8,1;22,0;27,5;32,5;27,0;42,2;47,3;43,6;27,4;29,9;36,8;31,3;27,3;44,5;50,0;49,5;45,5;63,1;58,4
Cururupu;18,1;12,5;11,8;12,8;15,5;10,9;13,2;12,9;8,6;8,7;9,2;13,2;14,9;14,5;25,2;24,4;29,8;24,1;33,5;38,4
Davinópolis;23,7;42,5;53,0;49,3;62,4;63,9;61,3;25,9;17,6;22,1;28,3;28,5;29,4;19,1;30,9;33,1;41,6;42,6;46,8;48,5
Dom Pedro;25,3;12,3;5,1;4,2;2,3;12,4;11,3;10,3;12,4;18,7;28,0;44,1;32,5;40,5;40,6;60,6;54,1;65,9;75,8;81,4
Duque Bacelar;8,9;4,3;8,2;16,9;16,6;39,2;59,6;62,8;57,0;35,5;38,1;51,5;69,3;66,2;64,9;75,0;78,9;84,7;84,2;85,3
Esperantinópolis;24,7;14,7;16,1;5,2;3,0;31,4;55,5;96,1;94,0;90,2;42,6;34,2;46,6;42,0;35,7;56,9;71,6;77,8;77,6;63,1
Estreito;1,1;2,8;3,9;2,8;17,1;26,3;15,9;12,8;16,4;12,7;12,8;34,2;28,8;41,6;47,0;49,6;57,0;59,0;66,1;63,9
Feira Nova do Maranhão;**;**;5,7;11,9;14,5;12,2;51,6;47,3;77,1;56,6;65,5;49,2;37,3;20,8;13,5;32,7;41,0;54,7;45,3;62,9
Fernando Falcão;**;**;**;9,6;**;3,4;6,0;4,8;5,1;5,6;4,8;17,6;17,1;11,5;18,7;10,8;13,4;22,9;31,2;44,4
Formosa da Serra Negra;4,1;15,6;27,0;41,4;44,6;39,6;44,8;38,7;**;6,4;6,8;16,1;25,8;63,7;51,8;52,3;47,9;59,8;79,1;89,3
Fortaleza dos Nogueiras;4,7;4,5;16,2;30,3;28,3;28,6;35,5;30,5;36,7;36,1;37,9;34,9;43,6;31,9;38,8;26,2;29,5;52,3;53,9;71,4
Fortuna;15,5;24,6;24,7;31,1;45,0;39,6;36,6;32,7;23,6;31,1;31,0;34,0;35,8;29,7;37,4;50,9;49,0;51,6;63,9;65,8
Godofredo Viana;25,2;18,3;3,9;**;0,0;21,7;12,9;10,8;12,4;10,8;21,6;14,4;17,4;14,8;21,5;45,0;32,4;41,0;43,1;50,0
Gonçalves Dias;20,9;8,7;14,2;27,0;26,5;29,1;34,2;39,3;22,8;17,1;23,8;19,2;17,8;19,9;27,5;25,2;27,7;38,9;44,7;60,9
Governador Archer;10,0;5,4;15,4;39,3;18,2;18,7;13,0;24,0;26,3;14,7;12,7;29,3;11,4;20,7;37,1;31,1;41,5;86,8;96,0;92,7
Governador Edison Lobão;31,1;48,2;38,1;33,0;63,9;64,9;64,8;29,6;18,2;23,8;27,2;40,2;39,9;29,2;37,4;44,9;40,6;55,1;60,3;69,6
Governador Eugênio Barros;61,3;50,6;49,0;50,5;76,6;85,2;75,9;73,4;76,7;57,9;55,9;58,4;54,2;48,9;60,9;62,0;76,5;67,5;67,1;62,3
Governador Luiz Rocha;13,0;9,6;24,7;30,4;34,5;47,0;40,2;44,6;39,1;39,5;48,0;59,6;65,7;53,3;48,0;65,9;54,3;57,1;72,9;70,1
Governador Newton Bello;7,7;19,6;17,3;12,8;15,1;7,2;12,4;8,8;9,6;18,4;27,5;20,6;22,3;26,1;22,3;19,2;27,3;31,9;36,3;57,2
Governador Nunes Freire;2,0;3,6;10,9;16,6;16,2;14,8;13,0;16,5;4,9;9,3;15,1;12,7;27,3;16,3;24,2;24,6;21,6;21,0;23,2;22,3
Graça Aranha;6,2;24,0;4,7;**;8,1;15,0;60,0;25,0;43,8;53,3;50,6;40,2;43,3;42,0;47,1;37,5;44,8;48,1;56,0;59,6
Grajaú;13,6;25,5;25,9;16,2;19,0;12,5;22,8;14,2;10,6;8,0;12,5;21,4;23,6;25,4;27,1;30,2;30,7;35,6;43,1;46,3
Guimarães;8,6;20,2;8,2;2,5;3,2;9,3;94,1;94,0;91,2;85,6;88,5;63,3;59,5;26,3;27,3;30,7;29,7;42,0;29,9;49,7
