 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Período:2013
"Município";"Nascim_p/resid.mãe"
"110001 Alta Floresta D'Oeste";382
"110037 Alto Alegre dos Parecis";163
"110040 Alto Paraíso";211
"110034 Alvorada D'Oeste";220
"110002 Ariquemes";1654
"110045 Buritis";598
"110003 Cabixi";74
"110060 Cacaulândia";63
"110004 Cacoal";1185
"110070 Campo Novo de Rondônia";183
"110080 Candeias do Jamari";405
"110090 Castanheiras";36
"110005 Cerejeiras";271
"110092 Chupinguaia";158
"110006 Colorado do Oeste";256
"110007 Corumbiara";116
"110008 Costa Marques";234
"110094 Cujubim";203
"110009 Espigão D'Oeste";463
"110100 Governador Jorge Teixeira";116
"110010 Guajará-Mirim";879
"110110 Itapuã do Oeste";123
"110011 Jaru";914
"110012 Ji-Paraná";1971
"110013 Machadinho D'Oeste";514
"110120 Ministro Andreazza";104
"110130 Mirante da Serra";122
"110140 Monte Negro";223
"110014 Nova Brasilândia D'Oeste";278
"110033 Nova Mamoré";416
"110143 Nova União";82
"110050 Novo Horizonte do Oeste";122
"110015 Ouro Preto do Oeste";639
"110145 Parecis";55
"110018 Pimenta Bueno";581
"110146 Pimenteiras do Oeste";42
"110020 Porto Velho";8927
"110025 Presidente Médici";258
"110147 Primavera de Rondônia";39
"110026 Rio Crespo";38
"110028 Rolim de Moura";879
"110029 Santa Luzia D'Oeste";98
"110148 São Felipe D'Oeste";61
"110149 São Francisco do Guaporé";266
"110032 São Miguel do Guaporé";355
"110150 Seringueiras";184
"110155 Teixeirópolis";80
"110160 Theobroma";106
"110170 Urupá";150
"110175 Vale do Anari";89
"110180 Vale do Paraíso";107
"110030 Vilhena";1388
"110000 Município ignorado - RO";16
"120001 Acrelândia";258
"120005 Assis Brasil";213
"120010 Brasiléia";530
"120013 Bujari";202
"120017 Capixaba";193
"120020 Cruzeiro do Sul";1783
"120025 Epitaciolândia";275
"120030 Feijó";791
"120032 Jordão";271
"120033 Mâncio Lima";399
"120034 Manoel Urbano";229
"120035 Marechal Thaumaturgo";485
"120038 Plácido de Castro";334
"120080 Porto Acre";362
"120039 Porto Walter";287
"120040 Rio Branco";7116
"120042 Rodrigues Alves";363
"120043 Santa Rosa do Purus";223
"120050 Sena Madureira";904
"120045 Senador Guiomard";425
"120060 Tarauacá";1138
"120070 Xapuri";294
"130002 Alvarães";346
"130006 Amaturá";261
"130008 Anamã";201
"130010 Anori";285
"130014 Apuí";223
"130020 Atalaia do Norte";354
"130030 Autazes";877
"130040 Barcelos";480
"130050 Barreirinha";769
"130060 Benjamin Constant";1036
"130063 Beruri";428
"130068 Boa Vista do Ramos";321
"130070 Boca do Acre";763
"130080 Borba";705
"130083 Caapiranga";203
"130090 Canutama";196
"130100 Carauari";633
"130110 Careiro";442
"130115 Careiro da Várzea";168
"130120 Coari";1750
"130130 Codajás";424
"130140 Eirunepé";852
"130150 Envira";366
"130160 Fonte Boa";556
"130165 Guajará";329
"130170 Humaitá";902
"130180 Ipixuna";407
"130185 Iranduba";849
"130190 Itacoatiara";2085
"130195 Itamarati";260
"130200 Itapiranga";184
"130210 Japurá";130
"130220 Juruá";202
"130230 Jutaí";629
"130240 Lábrea";728
"130250 Manacapuru";2000
"130255 Manaquiri";249
"130260 Manaus";41640
"130270 Manicoré";850
"130280 Maraã";338
"130290 Maués";1317
"130300 Nhamundá";301
"130310 Nova Olinda do Norte";628
"130320 Novo Airão";246
"130330 Novo Aripuanã";351
"130340 Parintins";2133
"130350 Pauini";367
"130353 Presidente Figueiredo";580
"130356 Rio Preto da Eva";374
"130360 Santa Isabel do Rio Negro";279
"130370 Santo Antônio do Içá";576
"130380 São Gabriel da Cachoeira";1143
"130390 São Paulo de Olivença";914
"130395 São Sebastião do Uatumã";160
"130400 Silves";208
"130406 Tabatinga";1619
"130410 Tapauá";421
"130420 Tefé";1732
"130423 Tonantins";322
"130426 Uarini";304
"130430 Urucará";302
"130440 Urucurituba";325
"130000 Município ignorado - AM";18
"140005 Alto Alegre";601
"140002 Amajari";307
"140010 Boa Vista";6350
"140015 Bonfim";327
"140017 Cantá";335
"140020 Caracaraí";424
"140023 Caroebe";151
"140028 Iracema";147
"140030 Mucajaí";351
"140040 Normandia";381
"140045 Pacaraima";351
"140047 Rorainópolis";422
"140050 São João da Baliza";120
"140060 São Luiz";80
"140070 Uiramutã";459
"140000 Município ignorado - RR";8
"150010 Abaetetuba";2538
"150013 Abel Figueiredo";129
"150020 Acará";1039
"150030 Afuá";788
"150034 Água Azul do Norte";190
"150040 Alenquer";1126
"150050 Almeirim";754
"150060 Altamira";2529
"150070 Anajás";736
"150080 Ananindeua";8035
"150085 Anapu";531
"150090 Augusto Corrêa";1050
"150095 Aurora do Pará";418
"150100 Aveiro";215
"150110 Bagre";460
"150120 Baião";532
"150125 Bannach";43
"150130 Barcarena";1998
"150140 Belém";21884
"150145 Belterra";269
"150150 Benevides";1010
"150157 Bom Jesus do Tocantins";230
"150160 Bonito";195
"150170 Bragança";2191
"150172 Brasil Novo";269
"150175 Brejo Grande do Araguaia";95
"150178 Breu Branco";786
"150180 Breves";2660
"150190 Bujaru";498
"150200 Cachoeira do Arari";268
"150195 Cachoeira do Piriá";323
"150210 Cametá";2469
"150215 Canaã dos Carajás";954
"150220 Capanema";1189
"150230 Capitão Poço";839
"150240 Castanhal";3161
"150250 Chaves";281
"150260 Colares";155
"150270 Conceição do Araguaia";745
"150275 Concórdia do Pará";559
"150276 Cumaru do Norte";129
"150277 Curionópolis";415
"150280 Curralinho";621
"150285 Curuá";220
"150290 Curuçá";472
"150293 Dom Eliseu";678
"150295 Eldorado do Carajás";506
"150300 Faro";138
"150304 Floresta do Araguaia";277
"150307 Garrafão do Norte";505
"150309 Goianésia do Pará";662
"150310 Gurupá";626
"150320 Igarapé-Açu";621
"150330 Igarapé-Miri";1155
"150340 Inhangapi";183
"150345 Ipixuna do Pará";590
"150350 Irituia";464
"150360 Itaituba";1615
"150370 Itupiranga";884
"150375 Jacareacanga";485
"150380 Jacundá";873
"150390 Juruti";1016
"150400 Limoeiro do Ajuru";483
"150405 Mãe do Rio";617
"150410 Magalhães Barata";104
"150420 Marabá";4965
"150430 Maracanã";441
"150440 Marapanim";323
"150442 Marituba";1777
"150445 Medicilândia";477
"150450 Melgaço";473
"150460 Mocajuba";518
"150470 Moju";1191
"150475 Mojuí dos Campos";1
"150480 Monte Alegre";1072
"150490 Muaná";564
"150495 Nova Esperança do Piriá";377
"150497 Nova Ipixuna";210
"150500 Nova Timboteua";124
"150503 Novo Progresso";510
"150506 Novo Repartimento";1209
"150510 Óbidos";991
"150520 Oeiras do Pará";751
"150530 Oriximiná";1336
"150540 Ourém";288
"150543 Ourilândia do Norte";663
"150548 Pacajá";655
"150549 Palestina do Pará";122
"150550 Paragominas";2003
"150553 Parauapebas";5157
"150555 Pau D'Arco";130
"150560 Peixe-Boi";97
"150563 Piçarra";142
"150565 Placas";229
"150570 Ponta de Pedras";330
"150580 Portel";1279
"150590 Porto de Moz";732
"150600 Prainha";678
"150610 Primavera";162
"150611 Quatipuru";180
"150613 Redenção";1641
"150616 Rio Maria";276
"150618 Rondon do Pará";686
"150619 Rurópolis";330
"150620 Salinópolis";684
"150630 Salvaterra";352
"150635 Santa Bárbara do Pará";324
"150640 Santa Cruz do Arari";101
"150650 Santa Izabel do Pará";1000
"150655 Santa Luzia do Pará";341
"150658 Santa Maria das Barreiras";168
"150660 Santa Maria do Pará";385
"150670 Santana do Araguaia";536
"150680 Santarém";6334
"150690 Santarém Novo";90
"150700 Santo Antônio do Tauá";490
"150710 São Caetano de Odivelas";223
"150715 São Domingos do Araguaia";368
"150720 São Domingos do Capim";623
"150730 São Félix do Xingu";891
"150740 São Francisco do Pará";231
"150745 São Geraldo do Araguaia";492
"150746 São João da Ponta";72
"150747 São João de Pirabas";365
"150750 São João do Araguaia";171
"150760 São Miguel do Guamá";956
"150770 São Sebastião da Boa Vista";499
"150775 Sapucaia";94
"150780 Senador José Porfírio";290
"150790 Soure";393
"150795 Tailândia";1519
"150796 Terra Alta";180
"150797 Terra Santa";289
"150800 Tomé-Açu";1459
"150803 Tracuateua";578
"150805 Trairão";212
"150808 Tucumã";689
"150810 Tucuruí";2209
"150812 Ulianópolis";474
"150815 Uruará";791
"150820 Vigia";798
"150830 Viseu";1218
"150835 Vitória do Xingu";198
"150840 Xinguara";751
"150000 Município ignorado - PA";8
"160010 Amapá";154
"160020 Calçoene";195
"160021 Cutias";83
"160023 Ferreira Gomes";193
"160025 Itaubal";115
"160027 Laranjal do Jari";887
"160030 Macapá";9540
"160040 Mazagão";449
"160050 Oiapoque";500
"160015 Pedra Branca do Amapari";283
"160053 Porto Grande";340
"160055 Pracuúba";79
"160060 Santana";2260
"160005 Serra do Navio";89
"160070 Tartarugalzinho";271
"160080 Vitória do Jari";271
"160000 Município ignorado - AP";1
"170025 Abreulândia";37
"170030 Aguiarnópolis";84
"170035 Aliança do Tocantins";81
"170040 Almas";129
"170070 Alvorada";101
"170100 Ananás";166
"170105 Angico";45
"170110 Aparecida do Rio Negro";66
"170130 Aragominas";69
"170190 Araguacema";101
"170200 Araguaçu";104
"170210 Araguaína";3065
"170215 Araguanã";106
"170220 Araguatins";511
"170230 Arapoema";105
"170240 Arraias";187
"170255 Augustinópolis";343
"170270 Aurora do Tocantins";34
"170290 Axixá do Tocantins";202
"170300 Babaçulândia";110
"170305 Bandeirantes do Tocantins";61
"170307 Barra do Ouro";76
"170310 Barrolândia";74
"170320 Bernardo Sayão";61
"170330 Bom Jesus do Tocantins";78
"170360 Brasilândia do Tocantins";21
"170370 Brejinho de Nazaré";94
"170380 Buriti do Tocantins";147
"170382 Cachoeirinha";29
"170384 Campos Lindos";149
"170386 Cariri do Tocantins";50
"170388 Carmolândia";47
"170389 Carrasco Bonito";74
"170390 Caseara";73
"170410 Centenário";20
"170510 Chapada da Natividade";50
"170460 Chapada de Areia";17
"170550 Colinas do Tocantins";540
"171670 Colméia";137
"170555 Combinado";73
"170560 Conceição do Tocantins";73
"170600 Couto Magalhães";82
"170610 Cristalândia";88
"170625 Crixás do Tocantins";26
"170650 Darcinópolis";97
"170700 Dianópolis";342
"170710 Divinópolis do Tocantins";99
