 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Período:2016
"Município";"Nascim_p/resid.mãe"
"110001 Alta Floresta D'Oeste";326
"110037 Alto Alegre dos Parecis";168
"110040 Alto Paraíso";220
"110034 Alvorada D'Oeste";166
"110002 Ariquemes";1662
"110045 Buritis";624
"110003 Cabixi";73
"110060 Cacaulândia";67
"110004 Cacoal";1338
"110070 Campo Novo de Rondônia";162
"110080 Candeias do Jamari";372
"110090 Castanheiras";55
"110005 Cerejeiras";263
"110092 Chupinguaia";153
"110006 Colorado do Oeste";223
"110007 Corumbiara";139
"110008 Costa Marques";213
"110094 Cujubim";241
"110009 Espigão D'Oeste";486
"110100 Governador Jorge Teixeira";112
"110010 Guajará-Mirim";884
"110110 Itapuã do Oeste";129
"110011 Jaru";807
"110012 Ji-Paraná";1976
"110013 Machadinho D'Oeste";398
"110120 Ministro Andreazza";93
"110130 Mirante da Serra";148
"110140 Monte Negro";173
"110014 Nova Brasilândia D'Oeste";276
"110033 Nova Mamoré";411
"110143 Nova União";90
"110050 Novo Horizonte do Oeste";95
"110015 Ouro Preto do Oeste";582
"110145 Parecis";50
"110018 Pimenta Bueno";601
"110146 Pimenteiras do Oeste";34
"110020 Porto Velho";8611
"110025 Presidente Médici";276
"110147 Primavera de Rondônia";56
"110026 Rio Crespo";35
"110028 Rolim de Moura";855
"110029 Santa Luzia D'Oeste";114
"110148 São Felipe D'Oeste";54
"110149 São Francisco do Guaporé";305
"110032 São Miguel do Guaporé";337
"110150 Seringueiras";171
"110155 Teixeirópolis";59
"110160 Theobroma";131
"110170 Urupá";151
"110175 Vale do Anari";110
"110180 Vale do Paraíso";98
"110030 Vilhena";1427
"110000 Município ignorado - RO";2
"120001 Acrelândia";222
"120005 Assis Brasil";190
"120010 Brasiléia";490
"120013 Bujari";248
"120017 Capixaba";194
"120020 Cruzeiro do Sul";1632
"120025 Epitaciolândia";270
"120030 Feijó";834
"120032 Jordão";263
"120033 Mâncio Lima";325
"120034 Manoel Urbano";236
"120035 Marechal Thaumaturgo";352
"120038 Plácido de Castro";339
"120080 Porto Acre";356
"120039 Porto Walter";230
"120040 Rio Branco";6614
"120042 Rodrigues Alves";304
"120043 Santa Rosa do Purus";95
"120050 Sena Madureira";762
"120045 Senador Guiomard";410
"120060 Tarauacá";1078
"120070 Xapuri";329
"130002 Alvarães";325
"130006 Amaturá";280
"130008 Anamã";182
"130010 Anori";266
"130014 Apuí";211
"130020 Atalaia do Norte";380
"130030 Autazes";890
"130040 Barcelos";496
"130050 Barreirinha";810
"130060 Benjamin Constant";1021
"130063 Beruri";510
"130068 Boa Vista do Ramos";312
"130070 Boca do Acre";653
"130080 Borba";663
"130083 Caapiranga";183
"130090 Canutama";217
"130100 Carauari";625
"130110 Careiro";481
"130115 Careiro da Várzea";199
"130120 Coari";1646
"130130 Codajás";404
"130140 Eirunepé";787
"130150 Envira";369
"130160 Fonte Boa";573
"130165 Guajará";284
"130170 Humaitá";977
"130180 Ipixuna";389
"130185 Iranduba";928
"130190 Itacoatiara";2028
"130195 Itamarati";263
"130200 Itapiranga";187
"130210 Japurá";150
"130220 Juruá";175
"130230 Jutaí";604
"130240 Lábrea";652
"130250 Manacapuru";1795
"130255 Manaquiri";253
"130260 Manaus";39603
"130270 Manicoré";911
"130280 Maraã";358
"130290 Maués";1273
"130300 Nhamundá";338
"130310 Nova Olinda do Norte";587
"130320 Novo Airão";289
"130330 Novo Aripuanã";386
"130340 Parintins";1932
"130350 Pauini";348
"130353 Presidente Figueiredo";548
"130356 Rio Preto da Eva";415
"130360 Santa Isabel do Rio Negro";305
"130370 Santo Antônio do Içá";693
"130380 São Gabriel da Cachoeira";1255
"130390 São Paulo de Olivença";871
"130395 São Sebastião do Uatumã";178
"130400 Silves";208
"130406 Tabatinga";1753
"130410 Tapauá";389
"130420 Tefé";1679
"130423 Tonantins";363
"130426 Uarini";264
"130430 Urucará";265
"130440 Urucurituba";299
"130000 Município ignorado - AM";25
"140005 Alto Alegre";620
"140002 Amajari";331
"140010 Boa Vista";6749
"140015 Bonfim";365
"140017 Cantá";315
"140020 Caracaraí";381
"140023 Caroebe";145
"140028 Iracema";138
"140030 Mucajaí";308
"140040 Normandia";428
