 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Período:2009
"Município";"Nascim_p/resid.mãe"
"110001 Alta Floresta D'Oeste";389
"110037 Alto Alegre dos Parecis";202
"110040 Alto Paraíso";290
"110034 Alvorada D'Oeste";229
"110002 Ariquemes";1700
"110045 Buritis";693
"110003 Cabixi";110
"110060 Cacaulândia";83
"110004 Cacoal";1318
"110070 Campo Novo de Rondônia";195
"110080 Candeias do Jamari";336
"110090 Castanheiras";34
"110005 Cerejeiras";217
"110092 Chupinguaia";106
"110006 Colorado do Oeste";273
"110007 Corumbiara";122
"110008 Costa Marques";252
"110094 Cujubim";203
"110009 Espigão D'Oeste";529
"110100 Governador Jorge Teixeira";158
"110010 Guajará-Mirim";892
"110110 Itapuã do Oeste";117
"110011 Jaru";938
"110012 Ji-Paraná";1622
"110013 Machadinho D'Oeste";615
"110120 Ministro Andreazza";137
"110130 Mirante da Serra";238
"110140 Monte Negro";238
"110014 Nova Brasilândia D'Oeste";257
"110033 Nova Mamoré";383
"110143 Nova União";98
"110050 Novo Horizonte do Oeste";115
"110015 Ouro Preto do Oeste";663
"110145 Parecis";80
"110018 Pimenta Bueno";598
"110146 Pimenteiras do Oeste";45
"110020 Porto Velho";7649
"110025 Presidente Médici";264
"110147 Primavera de Rondônia";50
"110026 Rio Crespo";47
"110028 Rolim de Moura";812
"110029 Santa Luzia D'Oeste";115
"110148 São Felipe D'Oeste";82
"110149 São Francisco do Guaporé";77
"110032 São Miguel do Guaporé";380
"110150 Seringueiras";178
"110155 Teixeirópolis";52
"110160 Theobroma";156
"110170 Urupá";151
"110175 Vale do Anari";103
"110180 Vale do Paraíso";97
"110030 Vilhena";1392
"110000 Município ignorado - RO";3
"120001 Acrelândia";269
"120005 Assis Brasil";336
"120010 Brasiléia";471
"120013 Bujari";160
"120017 Capixaba";197
"120020 Cruzeiro do Sul";1804
"120025 Epitaciolândia";265
"120030 Feijó";699
"120032 Jordão";223
"120033 Mâncio Lima";453
"120034 Manoel Urbano";183
"120035 Marechal Thaumaturgo";508
"120038 Plácido de Castro";338
"120080 Porto Acre";340
"120039 Porto Walter";420
"120040 Rio Branco";6538
"120042 Rodrigues Alves";548
"120043 Santa Rosa do Purus";212
"120050 Sena Madureira";1031
"120045 Senador Guiomard";358
"120060 Tarauacá";1242
"120070 Xapuri";297
"130002 Alvarães";388
"130006 Amaturá";239
"130008 Anamã";182
"130010 Anori";253
"130014 Apuí";234
"130020 Atalaia do Norte";313
"130030 Autazes";825
"130040 Barcelos";296
"130050 Barreirinha";659
"130060 Benjamin Constant";948
"130063 Beruri";384
"130068 Boa Vista do Ramos";384
"130070 Boca do Acre";678
"130080 Borba";642
"130083 Caapiranga";190
"130090 Canutama";193
"130100 Carauari";617
"130110 Careiro";344
"130115 Careiro da Várzea";210
"130120 Coari";1955
"130130 Codajás";435
"130140 Eirunepé";805
"130150 Envira";326
"130160 Fonte Boa";531
"130165 Guajará";429
"130170 Humaitá";913
"130180 Ipixuna";469
"130185 Iranduba";840
"130190 Itacoatiara";2020
"130195 Itamarati";147
"130200 Itapiranga";176
"130210 Japurá";119
"130220 Juruá";140
"130230 Jutaí";427
"130240 Lábrea";753
"130250 Manacapuru";2066
"130255 Manaquiri";163
"130260 Manaus";39572
"130270 Manicoré";839
"130280 Maraã";344
"130290 Maués";1364
"130300 Nhamundá";321
"130310 Nova Olinda do Norte";605
"130320 Novo Airão";325
"130330 Novo Aripuanã";396
"130340 Parintins";2151
"130350 Pauini";328
"130353 Presidente Figueiredo";523
"130356 Rio Preto da Eva";360
"130360 Santa Isabel do Rio Negro";317
"130370 Santo Antônio do Içá";580
"130380 São Gabriel da Cachoeira";1156
"130390 São Paulo de Olivença";818
"130395 São Sebastião do Uatumã";176
"130400 Silves";177
"130406 Tabatinga";1489
"130410 Tapauá";379
"130420 Tefé";1518
"130423 Tonantins";317
"130426 Uarini";332
"130430 Urucará";295
"130440 Urucurituba";352
"130000 Município ignorado - AM";2
"140005 Alto Alegre";512
"140002 Amajari";282
"140010 Boa Vista";5909
"140015 Bonfim";236
"140017 Cantá";281
"140020 Caracaraí";346
"140023 Caroebe";189
"140028 Iracema";180
"140030 Mucajaí";296
"140040 Normandia";268
"140045 Pacaraima";287
"140047 Rorainópolis";354
"140050 São João da Baliza";129
"140060 São Luiz";91
"140070 Uiramutã";313
"150010 Abaetetuba";2706
"150013 Abel Figueiredo";129
"150020 Acará";798
"150030 Afuá";663
"150034 Água Azul do Norte";203
"150040 Alenquer";1314
"150050 Almeirim";773
"150060 Altamira";1938
"150070 Anajás";684
"150080 Ananindeua";9360
"150085 Anapu";472
"150090 Augusto Corrêa";1154
"150095 Aurora do Pará";464
"150100 Aveiro";267
"150110 Bagre";447
"150120 Baião";523
"150125 Bannach";53
"150130 Barcarena";2010
"150140 Belém";23203
"150145 Belterra";216
"150150 Benevides";904
"150157 Bom Jesus do Tocantins";235
"150160 Bonito";176
"150170 Bragança";2335
"150172 Brasil Novo";229
"150175 Brejo Grande do Araguaia";110
"150178 Breu Branco";897
"150180 Breves";2046
"150190 Bujaru";542
"150200 Cachoeira do Arari";259
"150195 Cachoeira do Piriá";317
"150210 Cametá";2693
"150215 Canaã dos Carajás";690
"150220 Capanema";1158
"150230 Capitão Poço";910
"150240 Castanhal";3475
"150250 Chaves";194
"150260 Colares";173
"150270 Conceição do Araguaia";948
"150275 Concórdia do Pará";468
"150276 Cumaru do Norte";127
"150277 Curionópolis";350
"150280 Curralinho";599
"150285 Curuá";244
"150290 Curuçá";554
"150293 Dom Eliseu";878
"150295 Eldorado do Carajás";746
"150300 Faro";140
"150304 Floresta do Araguaia";278
"150307 Garrafão do Norte";446
"150309 Goianésia do Pará";730
"150310 Gurupá";710
"150320 Igarapé-Açu";582
"150330 Igarapé-Miri";1262
"150340 Inhangapi";203
"150345 Ipixuna do Pará";522
"150350 Irituia";576
"150360 Itaituba";1960
"150370 Itupiranga";1020
"150375 Jacareacanga";373
"150380 Jacundá";1069
"150390 Juruti";1039
"150400 Limoeiro do Ajuru";544
"150405 Mãe do Rio";701
"150410 Magalhães Barata";108
"150420 Marabá";5307
"150430 Maracanã";505
"150440 Marapanim";378
"150442 Marituba";1626
"150445 Medicilândia";458
"150450 Melgaço";671
"150460 Mocajuba";526
"150470 Moju";1263
"150480 Monte Alegre";1092
"150490 Muaná";537
"150495 Nova Esperança do Piriá";453
"150497 Nova Ipixuna";288
"150500 Nova Timboteua";159
"150503 Novo Progresso";453
"150506 Novo Repartimento";1368
"150510 Óbidos";1138
"150520 Oeiras do Pará";781
"150530 Oriximiná";1540
"150540 Ourém";344
"150543 Ourilândia do Norte";504
"150548 Pacajá";656
"150549 Palestina do Pará";134
"150550 Paragominas";2189
"150553 Parauapebas";3857
"150555 Pau D'Arco";135
"150560 Peixe-Boi";138
"150563 Piçarra";160
"150565 Placas";260
"150570 Ponta de Pedras";290
"150580 Portel";1063
"150590 Porto de Moz";688
"150600 Prainha";479
"150610 Primavera";158
"150611 Quatipuru";202
"150613 Redenção";1708
"150616 Rio Maria";349
"150618 Rondon do Pará";886
"150619 Rurópolis";386
"150620 Salinópolis";741
"150630 Salvaterra";310
"150635 Santa Bárbara do Pará";318
"150640 Santa Cruz do Arari";72
"150650 Santa Izabel do Pará";886
"150655 Santa Luzia do Pará";389
"150658 Santa Maria das Barreiras";199
"150660 Santa Maria do Pará";422
"150670 Santana do Araguaia";692
"150680 Santarém";6167
"150690 Santarém Novo";98
"150700 Santo Antônio do Tauá";460
"150710 São Caetano de Odivelas";235
"150715 São Domingos do Araguaia";493
"150720 São Domingos do Capim";732
"150730 São Félix do Xingu";868
"150740 São Francisco do Pará";251
"150745 São Geraldo do Araguaia";564
"150746 São João da Ponta";68
"150747 São João de Pirabas";346
"150750 São João do Araguaia";203
"150760 São Miguel do Guamá";973
"150770 São Sebastião da Boa Vista";467
"150775 Sapucaia";87
"150780 Senador José Porfírio";305
"150790 Soure";410
"150795 Tailândia";1590
"150796 Terra Alta";216
"150797 Terra Santa";316
"150800 Tomé-Açu";929
"150803 Tracuateua";613
"150805 Trairão";253
"150808 Tucumã";677
"150810 Tucuruí";2275
"150812 Ulianópolis";437
"150815 Uruará";855
"150820 Vigia";748
"150830 Viseu";1384
"150835 Vitória do Xingu";206
"150840 Xinguara";857
"150000 Município ignorado - PA";2
"160010 Amapá";121
"160020 Calçoene";210
"160021 Cutias";75
"160023 Ferreira Gomes";82
"160025 Itaubal";77
"160027 Laranjal do Jari";1004
"160030 Macapá";8852
"160040 Mazagão";374
"160050 Oiapoque";357
"160015 Pedra Branca do Amapari";115
"160053 Porto Grande";258
"160055 Pracuúba";83
"160060 Santana";2073
"160005 Serra do Navio";74
"160070 Tartarugalzinho";266
"160080 Vitória do Jari";277
"170025 Abreulândia";34
"170030 Aguiarnópolis";90
"170035 Aliança do Tocantins";82
"170040 Almas";131
"170070 Alvorada";124
"170100 Ananás";219
"170105 Angico";44
"170110 Aparecida do Rio Negro";74
"170130 Aragominas";92
"170190 Araguacema";62
"170200 Araguaçu";129
"170210 Araguaína";3035
"170215 Araguanã";108
"170220 Araguatins";589
"170230 Arapoema";140
"170240 Arraias";194
"170255 Augustinópolis";357
"170270 Aurora do Tocantins";47
"170290 Axixá do Tocantins";227
"170300 Babaçulândia";138
"170305 Bandeirantes do Tocantins";47
"170307 Barra do Ouro";78
"170310 Barrolândia";86
"170320 Bernardo Sayão";73
"170330 Bom Jesus do Tocantins";67
"170360 Brasilândia do Tocantins";27
"170370 Brejinho de Nazaré";81
"170380 Buriti do Tocantins";172
"170382 Cachoeirinha";36
"170384 Campos Lindos";132
"170386 Cariri do Tocantins";49
"170388 Carmolândia";46
"170389 Carrasco Bonito";89
"170390 Caseara";70
"170410 Centenário";43
"170510 Chapada da Natividade";49
"170460 Chapada de Areia";17
"170550 Colinas do Tocantins";653
"171670 Colméia";168
"170555 Combinado";73
"170560 Conceição do Tocantins";74
"170600 Couto Magalhães";73
"170610 Cristalândia";110
"170625 Crixás do Tocantins";17
"170650 Darcinópolis";123
"170700 Dianópolis";379
"170710 Divinópolis do Tocantins";107
"170720 Dois Irmãos do Tocantins";78
"170730 Dueré";77
"170740 Esperantina";191
"170755 Fátima";55
"170765 Figueirópolis";74
"170770 Filadélfia";134
"170820 Formoso do Araguaia";309
"170825 Fortaleza do Tabocão";43
"170830 Goianorte";56
"170900 Goiatins";253
"170930 Guaraí";402
"170950 Gurupi";1211
"170980 Ipueiras";25
"171050 Itacajá";122
"171070 Itaguatins";95
"171090 Itapiratins";43
"171110 Itaporã do Tocantins";43
"171150 Jaú do Tocantins";39
"171180 Juarina";41
"171190 Lagoa da Confusão";205
"171195 Lagoa do Tocantins";90
"171200 Lajeado";47
"171215 Lavandeira";22
"171240 Lizarda";40
"171245 Luzinópolis";54
"171250 Marianópolis do Tocantins";75
"171270 Mateiros";55
"171280 Maurilândia do Tocantins";49
"171320 Miracema do Tocantins";395
"171330 Miranorte";179
"171360 Monte do Carmo";95
"171370 Monte Santo do Tocantins";34
"171395 Muricilândia";68
"171420 Natividade";152
"171430 Nazaré";67
"171488 Nova Olinda";209
"171500 Nova Rosalândia";58
"171510 Novo Acordo";83
"171515 Novo Alegre";28
"171525 Novo Jardim";52
"171550 Oliveira de Fátima";22
"172100 Palmas";4347
"171570 Palmeirante";90
"171380 Palmeiras do Tocantins";78
"171575 Palmeirópolis";102
"171610 Paraíso do Tocantins";760
"171620 Paranã";160
"171630 Pau D'Arco";66
"171650 Pedro Afonso";214
"171660 Peixe";151
"171665 Pequizeiro";67
"171700 Pindorama do Tocantins";78
"171720 Piraquê";34
"171750 Pium";91
"171780 Ponte Alta do Bom Jesus";68
"171790 Ponte Alta do Tocantins";123
"171800 Porto Alegre do Tocantins";50
"171820 Porto Nacional";942
"171830 Praia Norte";133
"171840 Presidente Kennedy";48
"171845 Pugmil";53
"171850 Recursolândia";80
"171855 Riachinho";80
"171865 Rio da Conceição";25
"171870 Rio dos Bois";40
"171875 Rio Sono";73
"171880 Sampaio";79
"171884 Sandolândia";35
"171886 Santa Fé do Araguaia";146
"171888 Santa Maria do Tocantins";55
"171889 Santa Rita do Tocantins";25
"171890 Santa Rosa do Tocantins";80
"171900 Santa Tereza do Tocantins";42
"172000 Santa Terezinha do Tocantins";36
"172010 São Bento do Tocantins";81
"172015 São Félix do Tocantins";27
"172020 São Miguel do Tocantins";112
"172025 São Salvador do Tocantins";49
"172030 São Sebastião do Tocantins";76
"172049 São Valério";84
"172065 Silvanópolis";121
"172080 Sítio Novo do Tocantins";161
"172085 Sucupira";28
"172090 Taguatinga";233
"172093 Taipas do Tocantins";41
"172097 Talismã";26
"172110 Tocantínia";170
"172120 Tocantinópolis";509
"172125 Tupirama";30
