 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Período:2012
"Município";"Nascim_p/resid.mãe"
"110001 Alta Floresta D'Oeste";386
"110037 Alto Alegre dos Parecis";189
"110040 Alto Paraíso";194
"110034 Alvorada D'Oeste";189
"110002 Ariquemes";1339
"110045 Buritis";555
"110003 Cabixi";64
"110060 Cacaulândia";61
"110004 Cacoal";1201
"110070 Campo Novo de Rondônia";164
"110080 Candeias do Jamari";430
"110090 Castanheiras";53
"110005 Cerejeiras";245
"110092 Chupinguaia";118
"110006 Colorado do Oeste";214
"110007 Corumbiara";116
"110008 Costa Marques";234
"110094 Cujubim";161
"110009 Espigão D'Oeste";476
"110100 Governador Jorge Teixeira";133
"110010 Guajará-Mirim";940
"110110 Itapuã do Oeste";114
"110011 Jaru";808
"110012 Ji-Paraná";2075
"110013 Machadinho D'Oeste";542
"110120 Ministro Andreazza";100
"110130 Mirante da Serra";148
"110140 Monte Negro";170
"110014 Nova Brasilândia D'Oeste";271
"110033 Nova Mamoré";383
"110143 Nova União";99
"110050 Novo Horizonte do Oeste";125
"110015 Ouro Preto do Oeste";647
"110145 Parecis";63
"110018 Pimenta Bueno";553
"110146 Pimenteiras do Oeste";51
"110020 Porto Velho";8941
"110025 Presidente Médici";243
"110147 Primavera de Rondônia";43
"110026 Rio Crespo";41
"110028 Rolim de Moura";927
"110029 Santa Luzia D'Oeste";118
"110148 São Felipe D'Oeste";64
"110149 São Francisco do Guaporé";246
"110032 São Miguel do Guaporé";313
"110150 Seringueiras";190
"110155 Teixeirópolis";57
"110160 Theobroma";133
"110170 Urupá";146
"110175 Vale do Anari";86
"110180 Vale do Paraíso";83
"110030 Vilhena";1269
"110000 Município ignorado - RO";2
"120001 Acrelândia";253
"120005 Assis Brasil";219
"120010 Brasiléia";505
"120013 Bujari";198
"120017 Capixaba";201
"120020 Cruzeiro do Sul";1741
"120025 Epitaciolândia";282
"120030 Feijó";904
"120032 Jordão";269
"120033 Mâncio Lima";386
"120034 Manoel Urbano";256
"120035 Marechal Thaumaturgo";474
"120038 Plácido de Castro";353
"120080 Porto Acre";346
"120039 Porto Walter";338
"120040 Rio Branco";6531
"120042 Rodrigues Alves";390
"120043 Santa Rosa do Purus";259
"120050 Sena Madureira";929
"120045 Senador Guiomard";396
"120060 Tarauacá";1158
"120070 Xapuri";311
"120000 Município ignorado - AC";1
"130002 Alvarães";320
"130006 Amaturá";242
"130008 Anamã";199
"130010 Anori";247
"130014 Apuí";195
"130020 Atalaia do Norte";357
"130030 Autazes";877
"130040 Barcelos";469
"130050 Barreirinha";707
"130060 Benjamin Constant";1053
"130063 Beruri";427
"130068 Boa Vista do Ramos";260
"130070 Boca do Acre";741
"130080 Borba";690
"130083 Caapiranga";138
"130090 Canutama";213
"130100 Carauari";656
"130110 Careiro";414
"130115 Careiro da Várzea";171
"130120 Coari";1668
"130130 Codajás";432
"130140 Eirunepé";833
"130150 Envira";314
"130160 Fonte Boa";520
"130165 Guajará";360
"130170 Humaitá";847
"130180 Ipixuna";439
"130185 Iranduba";898
"130190 Itacoatiara";2019
"130195 Itamarati";197
"130200 Itapiranga";199
"130210 Japurá";142
"130220 Juruá";171
"130230 Jutaí";601
"130240 Lábrea";682
"130250 Manacapuru";1886
"130255 Manaquiri";250
"130260 Manaus";41169
"130270 Manicoré";810
"130280 Maraã";313
"130290 Maués";1311
"130300 Nhamundá";344
"130310 Nova Olinda do Norte";591
"130320 Novo Airão";257
"130330 Novo Aripuanã";321
"130340 Parintins";2021
"130350 Pauini";308
"130353 Presidente Figueiredo";556
"130356 Rio Preto da Eva";361
"130360 Santa Isabel do Rio Negro";344
"130370 Santo Antônio do Içá";603
"130380 São Gabriel da Cachoeira";1119
"130390 São Paulo de Olivença";959
"130395 São Sebastião do Uatumã";178
"130400 Silves";181
"130406 Tabatinga";1632
"130410 Tapauá";401
"130420 Tefé";1558
"130423 Tonantins";348
"130426 Uarini";288
"130430 Urucará";298
"130440 Urucurituba";321
"130000 Município ignorado - AM";8
"140005 Alto Alegre";600
"140002 Amajari";308
"140010 Boa Vista";6358
"140015 Bonfim";312
"140017 Cantá";315
"140020 Caracaraí";425
"140023 Caroebe";138
"140028 Iracema";173
"140030 Mucajaí";270
"140040 Normandia";319
"140045 Pacaraima";327
"140047 Rorainópolis";422
"140050 São João da Baliza";116
"140060 São Luiz";84
"140070 Uiramutã";432
"140000 Município ignorado - RR";2
"150010 Abaetetuba";2530
"150013 Abel Figueiredo";114
"150020 Acará";966
"150030 Afuá";805
"150034 Água Azul do Norte";164
"150040 Alenquer";1138
"150050 Almeirim";693
"150060 Altamira";2105
"150070 Anajás";751
"150080 Ananindeua";8195
"150085 Anapu";530
"150090 Augusto Corrêa";965
"150095 Aurora do Pará";372
"150100 Aveiro";206
"150110 Bagre";465
"150120 Baião";538
"150125 Bannach";42
"150130 Barcarena";2053
"150140 Belém";21371
"150145 Belterra";243
"150150 Benevides";1082
"150157 Bom Jesus do Tocantins";229
"150160 Bonito";217
"150170 Bragança";2148
"150172 Brasil Novo";279
"150175 Brejo Grande do Araguaia";97
"150178 Breu Branco";799
"150180 Breves";2383
"150190 Bujaru";508
"150200 Cachoeira do Arari";236
"150195 Cachoeira do Piriá";356
"150210 Cametá";2478
"150215 Canaã dos Carajás";875
"150220 Capanema";1087
"150230 Capitão Poço";827
"150240 Castanhal";3169
"150250 Chaves";283
"150260 Colares";151
"150270 Conceição do Araguaia";756
"150275 Concórdia do Pará";498
"150276 Cumaru do Norte";147
"150277 Curionópolis";443
"150280 Curralinho";631
"150285 Curuá";208
"150290 Curuçá";498
"150293 Dom Eliseu";700
"150295 Eldorado do Carajás";513
"150300 Faro";147
"150304 Floresta do Araguaia";298
"150307 Garrafão do Norte";431
"150309 Goianésia do Pará";721
"150310 Gurupá";647
"150320 Igarapé-Açu";586
"150330 Igarapé-Miri";1156
"150340 Inhangapi";167
"150345 Ipixuna do Pará";569
"150350 Irituia";480
"150360 Itaituba";2095
"150370 Itupiranga";898
"150375 Jacareacanga";521
"150380 Jacundá";904
"150390 Juruti";966
"150400 Limoeiro do Ajuru";494
"150405 Mãe do Rio";625
"150410 Magalhães Barata";127
"150420 Marabá";4812
"150430 Maracanã";392
"150440 Marapanim";333
"150442 Marituba";1665
"150445 Medicilândia";459
"150450 Melgaço";586
"150460 Mocajuba";469
"150470 Moju";1174
"150480 Monte Alegre";1044
"150490 Muaná";525
"150495 Nova Esperança do Piriá";408
"150497 Nova Ipixuna";194
"150500 Nova Timboteua";142
"150503 Novo Progresso";481
"150506 Novo Repartimento";1259
"150510 Óbidos";1001
"150520 Oeiras do Pará";716
"150530 Oriximiná";1283
"150540 Ourém";251
"150543 Ourilândia do Norte";596
"150548 Pacajá";681
"150549 Palestina do Pará";116
"150550 Paragominas";2093
"150553 Parauapebas";4513
"150555 Pau D'Arco";127
"150560 Peixe-Boi";109
"150563 Piçarra";174
"150565 Placas";246
"150570 Ponta de Pedras";295
"150580 Portel";1170
"150590 Porto de Moz";670
"150600 Prainha";734
"150610 Primavera";176
"150611 Quatipuru";185
"150613 Redenção";1609
"150616 Rio Maria";327
"150618 Rondon do Pará";752
"150619 Rurópolis";390
"150620 Salinópolis";665
"150630 Salvaterra";366
"150635 Santa Bárbara do Pará";306
"150640 Santa Cruz do Arari";66
"150650 Santa Izabel do Pará";961
"150655 Santa Luzia do Pará";375
"150658 Santa Maria das Barreiras";182
"150660 Santa Maria do Pará";376
"150670 Santana do Araguaia";587
"150680 Santarém";6489
"150690 Santarém Novo";102
"150700 Santo Antônio do Tauá";494
"150710 São Caetano de Odivelas";251
"150715 São Domingos do Araguaia";371
"150720 São Domingos do Capim";643
"150730 São Félix do Xingu";993
"150740 São Francisco do Pará";209
"150745 São Geraldo do Araguaia";515
"150746 São João da Ponta";81
"150747 São João de Pirabas";345
"150750 São João do Araguaia";198
"150760 São Miguel do Guamá";980
"150770 São Sebastião da Boa Vista";465
"150775 Sapucaia";70
"150780 Senador José Porfírio";323
"150790 Soure";460
"150795 Tailândia";1440
"150796 Terra Alta";196
"150797 Terra Santa";255
"150800 Tomé-Açu";1375
"150803 Tracuateua";602
"150805 Trairão";209
"150808 Tucumã";745
"150810 Tucuruí";2047
"150812 Ulianópolis";469
"150815 Uruará";859
"150820 Vigia";716
"150830 Viseu";1215
"150835 Vitória do Xingu";229
"150840 Xinguara";770
"150000 Município ignorado - PA";4
"160010 Amapá";148
"160020 Calçoene";180
"160021 Cutias";68
"160023 Ferreira Gomes";168
