 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Período:2010
"Município";"Nascim_p/resid.mãe"
"110001 Alta Floresta D'Oeste";452
"110037 Alto Alegre dos Parecis";204
"110040 Alto Paraíso";282
"110034 Alvorada D'Oeste";190
"110002 Ariquemes";1633
"110045 Buritis";656
"110003 Cabixi";96
"110060 Cacaulândia";70
"110004 Cacoal";1178
"110070 Campo Novo de Rondônia";183
"110080 Candeias do Jamari";365
"110090 Castanheiras";53
"110005 Cerejeiras";240
"110092 Chupinguaia";123
"110006 Colorado do Oeste";262
"110007 Corumbiara";131
"110008 Costa Marques";263
"110094 Cujubim";215
"110009 Espigão D'Oeste";495
"110100 Governador Jorge Teixeira";165
"110010 Guajará-Mirim";882
"110110 Itapuã do Oeste";114
"110011 Jaru";819
"110012 Ji-Paraná";1535
"110013 Machadinho D'Oeste";501
"110120 Ministro Andreazza";112
"110130 Mirante da Serra";191
"110140 Monte Negro";222
"110014 Nova Brasilândia D'Oeste";325
"110033 Nova Mamoré";417
"110143 Nova União";104
"110050 Novo Horizonte do Oeste";149
"110015 Ouro Preto do Oeste";655
"110145 Parecis";71
"110018 Pimenta Bueno";604
"110146 Pimenteiras do Oeste";45
"110020 Porto Velho";8089
"110025 Presidente Médici";183
"110147 Primavera de Rondônia";48
"110026 Rio Crespo";39
"110028 Rolim de Moura";793
"110029 Santa Luzia D'Oeste";127
"110148 São Felipe D'Oeste";75
"110149 São Francisco do Guaporé";255
"110032 São Miguel do Guaporé";252
"110150 Seringueiras";194
"110155 Teixeirópolis";51
"110160 Theobroma";135
"110170 Urupá";111
"110175 Vale do Anari";80
"110180 Vale do Paraíso";97
"110030 Vilhena";1304
"120001 Acrelândia";234
"120005 Assis Brasil";252
"120010 Brasiléia";475
"120013 Bujari";185
"120017 Capixaba";191
"120020 Cruzeiro do Sul";1724
"120025 Epitaciolândia";253
"120030 Feijó";927
"120032 Jordão";259
"120033 Mâncio Lima";409
"120034 Manoel Urbano";212
"120035 Marechal Thaumaturgo";419
"120038 Plácido de Castro";336
"120080 Porto Acre";333
"120039 Porto Walter";351
"120040 Rio Branco";6437
"120042 Rodrigues Alves";456
"120043 Santa Rosa do Purus";205
"120050 Sena Madureira";961
"120045 Senador Guiomard";364
"120060 Tarauacá";1214
"120070 Xapuri";298
"130002 Alvarães";281
"130006 Amaturá";230
"130008 Anamã";182
"130010 Anori";244
"130014 Apuí";235
"130020 Atalaia do Norte";260
"130030 Autazes";799
"130040 Barcelos";262
"130050 Barreirinha";687
"130060 Benjamin Constant";940
"130063 Beruri";408
"130068 Boa Vista do Ramos";364
"130070 Boca do Acre";669
"130080 Borba";740
"130083 Caapiranga";193
"130090 Canutama";187
"130100 Carauari";598
"130110 Careiro";397
"130115 Careiro da Várzea";219
"130120 Coari";1705
"130130 Codajás";444
"130140 Eirunepé";790
"130150 Envira";289
"130160 Fonte Boa";471
"130165 Guajará";364
"130170 Humaitá";829
"130180 Ipixuna";380
"130185 Iranduba";879
"130190 Itacoatiara";2051
"130195 Itamarati";183
"130200 Itapiranga";190
"130210 Japurá";117
"130220 Juruá";183
"130230 Jutaí";321
"130240 Lábrea";702
"130250 Manacapuru";1947
"130255 Manaquiri";192
"130260 Manaus";39350
"130270 Manicoré";784
"130280 Maraã";347
"130290 Maués";1280
"130300 Nhamundá";293
"130310 Nova Olinda do Norte";576
"130320 Novo Airão";262
"130330 Novo Aripuanã";395
"130340 Parintins";2154
"130350 Pauini";264
"130353 Presidente Figueiredo";511
"130356 Rio Preto da Eva";388
"130360 Santa Isabel do Rio Negro";310
"130370 Santo Antônio do Içá";523
"130380 São Gabriel da Cachoeira";924
"130390 São Paulo de Olivença";783
"130395 São Sebastião do Uatumã";169
"130400 Silves";205
"130406 Tabatinga";1388
"130410 Tapauá";400
"130420 Tefé";1659
"130423 Tonantins";321
"130426 Uarini";324
"130430 Urucará";306
"130440 Urucurituba";338
"130000 Município ignorado - AM";2
"140005 Alto Alegre";576
"140002 Amajari";262
"140010 Boa Vista";6039
"140015 Bonfim";241
"140017 Cantá";278
"140020 Caracaraí";366
"140023 Caroebe";168
"140028 Iracema";154
"140030 Mucajaí";311
