 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Período:2018
"Município";"Nascim_p/resid.mãe"
"110001 Alta Floresta D'Oeste";408
"110037 Alto Alegre dos Parecis";160
"110040 Alto Paraíso";219
"110034 Alvorada D'Oeste";162
"110002 Ariquemes";1682
"110045 Buritis";617
"110003 Cabixi";82
"110060 Cacaulândia";80
"110004 Cacoal";1446
"110070 Campo Novo de Rondônia";195
"110080 Candeias do Jamari";421
"110090 Castanheiras";56
"110005 Cerejeiras";264
"110092 Chupinguaia";181
"110006 Colorado do Oeste";235
"110007 Corumbiara";129
"110008 Costa Marques";246
"110094 Cujubim";229
"110009 Espigão D'Oeste";476
"110100 Governador Jorge Teixeira";133
"110010 Guajará-Mirim";926
"110110 Itapuã do Oeste";92
"110011 Jaru";911
"110012 Ji-Paraná";2278
"110013 Machadinho D'Oeste";517
"110120 Ministro Andreazza";92
"110130 Mirante da Serra";160
"110140 Monte Negro";220
"110014 Nova Brasilândia D'Oeste";290
"110033 Nova Mamoré";482
"110143 Nova União";87
"110050 Novo Horizonte do Oeste";111
"110015 Ouro Preto do Oeste";614
"110145 Parecis";53
"110018 Pimenta Bueno";651
"110146 Pimenteiras do Oeste";52
"110020 Porto Velho";8752
"110025 Presidente Médici";294
"110147 Primavera de Rondônia";38
"110026 Rio Crespo";46
"110028 Rolim de Moura";900
"110029 Santa Luzia D'Oeste";103
"110148 São Felipe D'Oeste";54
"110149 São Francisco do Guaporé";327
"110032 São Miguel do Guaporé";391
"110150 Seringueiras";154
"110155 Teixeirópolis";60
"110160 Theobroma";131
"110170 Urupá";139
"110175 Vale do Anari";91
"110180 Vale do Paraíso";95
"110030 Vilhena";1557
"110000 Município ignorado - RO";2
"120001 Acrelândia";216
"120005 Assis Brasil";264
"120010 Brasiléia";540
"120013 Bujari";306
"120017 Capixaba";222
"120020 Cruzeiro do Sul";1756
"120025 Epitaciolândia";273
"120030 Feijó";833
"120032 Jordão";274
"120033 Mâncio Lima";367
"120034 Manoel Urbano";252
"120035 Marechal Thaumaturgo";407
"120038 Plácido de Castro";309
"120080 Porto Acre";392
"120039 Porto Walter";254
"120040 Rio Branco";6495
"120042 Rodrigues Alves";394
"120043 Santa Rosa do Purus";207
"120050 Sena Madureira";788
"120045 Senador Guiomard";476
"120060 Tarauacá";1193
"120070 Xapuri";325
"130002 Alvarães";346
"130006 Amaturá";247
"130008 Anamã";214
"130010 Anori";247
"130014 Apuí";242
"130020 Atalaia do Norte";357
"130030 Autazes";948
"130040 Barcelos";570
"130050 Barreirinha";851
"130060 Benjamin Constant";985
"130063 Beruri";501
"130068 Boa Vista do Ramos";318
"130070 Boca do Acre";739
"130080 Borba";789
"130083 Caapiranga";188
"130090 Canutama";222
"130100 Carauari";636
"130110 Careiro";550
"130115 Careiro da Várzea";275
"130120 Coari";1747
"130130 Codajás";429
"130140 Eirunepé";830
"130150 Envira";369
"130160 Fonte Boa";621
"130165 Guajará";293
"130170 Humaitá";1006
"130180 Ipixuna";413
"130185 Iranduba";945
"130190 Itacoatiara";2068
"130195 Itamarati";303
"130200 Itapiranga";171
"130210 Japurá";151
"130220 Juruá";251
"130230 Jutaí";648
"130240 Lábrea";779
"130250 Manacapuru";2056
"130255 Manaquiri";303
"130260 Manaus";38588
"130270 Manicoré";1013
"130280 Maraã";405
"130290 Maués";1581
"130300 Nhamundá";314
"130310 Nova Olinda do Norte";612
"130320 Novo Airão";327
"130330 Novo Aripuanã";379
"130340 Parintins";2067
"130350 Pauini";362
"130353 Presidente Figueiredo";558
"130356 Rio Preto da Eva";431
"130360 Santa Isabel do Rio Negro";372
"130370 Santo Antônio do Içá";704
"130380 São Gabriel da Cachoeira";1227
"130390 São Paulo de Olivença";935
"130395 São Sebastião do Uatumã";186
"130400 Silves";197
"130406 Tabatinga";1685
"130410 Tapauá";394
"130420 Tefé";1822
"130423 Tonantins";435
