 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Período:2017
"Município";"Nascim_p/resid.mãe"
"140028 Iracema";154
"140030 Mucajaí";309
"140040 Normandia";415
"140045 Pacaraima";380
"140047 Rorainópolis";563
"140050 São João da Baliza";122
"140060 São Luiz";106
"140070 Uiramutã";445
"150010 Abaetetuba";2713
"150013 Abel Figueiredo";142
"150020 Acará";992
"150030 Afuá";968
"150034 Água Azul do Norte";215
"150040 Alenquer";1132
"150050 Almeirim";745
"150060 Altamira";2487
"150070 Anajás";855
"150080 Ananindeua";7940
"150085 Anapu";630
"150090 Augusto Corrêa";935
"150095 Aurora do Pará";401
"150100 Aveiro";160
"150110 Bagre";553
"150120 Baião";630
"150125 Bannach";49
"150130 Barcarena";2154
"150140 Belém";19409
"150145 Belterra";272
"150150 Benevides";1041
"150157 Bom Jesus do Tocantins";225
"150160 Bonito";184
"150170 Bragança";2099
"150172 Brasil Novo";333
"150175 Brejo Grande do Araguaia";93
"150178 Breu Branco";785
"150180 Breves";2723
"150190 Bujaru";473
"150200 Cachoeira do Arari";330
"150195 Cachoeira do Piriá";311
"150210 Cametá";2417
"150215 Canaã dos Carajás";1234
"150220 Capanema";1040
"150230 Capitão Poço";815
"150240 Castanhal";3196
"150250 Chaves";372
"150260 Colares";164
"150270 Conceição do Araguaia";777
"150275 Concórdia do Pará";498
"150276 Cumaru do Norte";166
"150277 Curionópolis";290
"150280 Curralinho";733
"150285 Curuá";192
"150290 Curuçá";491
"150293 Dom Eliseu";692
"150295 Eldorado do Carajás";413
"150300 Faro";153
"150304 Floresta do Araguaia";337
"150307 Garrafão do Norte";411
"150309 Goianésia do Pará";545
"150310 Gurupá";756
"150320 Igarapé-Açu";564
"150330 Igarapé-Miri";1047
"150340 Inhangapi";175
"150345 Ipixuna do Pará";594
"150350 Irituia";420
"150360 Itaituba";2377
"150370 Itupiranga";781
"150375 Jacareacanga";619
"150380 Jacundá";737
"150390 Juruti";1042
"150400 Limoeiro do Ajuru";402
"150405 Mãe do Rio";559
"150410 Magalhães Barata";90
"150420 Marabá";4764
"150430 Maracanã";362
"150440 Marapanim";324
"150442 Marituba";1794
"150445 Medicilândia";463
"150450 Melgaço";562
"150460 Mocajuba";485
"150470 Moju";1229
"150475 Mojuí dos Campos";229
"150480 Monte Alegre";1107
"150490 Muaná";572
"150495 Nova Esperança do Piriá";386
"150497 Nova Ipixuna";218
"150500 Nova Timboteua";161
"150503 Novo Progresso";621
"150506 Novo Repartimento";1252
"150510 Óbidos";1019
"150520 Oeiras do Pará";691
"150530 Oriximiná";1403
"150540 Ourém";300
"150543 Ourilândia do Norte";675
"150548 Pacajá";764
"150549 Palestina do Pará";97
"150550 Paragominas";1977
"150553 Parauapebas";4582
"150555 Pau D'Arco";116
"150560 Peixe-Boi";114
"150563 Piçarra";182
"150565 Placas";291
"150570 Ponta de Pedras";348
"150580 Portel";1489
"150590 Porto de Moz";701
"150600 Prainha";777
"150610 Primavera";171
"150611 Quatipuru";169
"150613 Redenção";1743
"150616 Rio Maria";273
"150618 Rondon do Pará";608
"150619 Rurópolis";411
"150620 Salinópolis";607
"150630 Salvaterra";378
"150635 Santa Bárbara do Pará";345
"150640 Santa Cruz do Arari";89
"150650 Santa Izabel do Pará";960
"150655 Santa Luzia do Pará";344
"150658 Santa Maria das Barreiras";143
"150660 Santa Maria do Pará";428
"150670 Santana do Araguaia";569
"150680 Santarém";6777
"150690 Santarém Novo";107
"150700 Santo Antônio do Tauá";483
"150710 São Caetano de Odivelas";215
"150715 São Domingos do Araguaia";345
"150720 São Domingos do Capim";525
"150730 São Félix do Xingu";1071
"150740 São Francisco do Pará";206
"150745 São Geraldo do Araguaia";494
"150746 São João da Ponta";87
"150747 São João de Pirabas";309
"150750 São João do Araguaia";170
"150760 São Miguel do Guamá";957
"150770 São Sebastião da Boa Vista";520
"150775 Sapucaia";95
"150780 Senador José Porfírio";297
"150790 Soure";382
"150795 Tailândia";1472
"150796 Terra Alta";206
"150797 Terra Santa";283
"150800 Tomé-Açu";1489
"150803 Tracuateua";566
"150805 Trairão";221
"150808 Tucumã";702
"150810 Tucuruí";2053
"150812 Ulianópolis";431
"150815 Uruará";743
"150820 Vigia";707
"150830 Viseu";1140
"150835 Vitória do Xingu";377
"150840 Xinguara";881
"150000 Município ignorado - PA";2
"160010 Amapá";141
"160020 Calçoene";210
"160021 Cutias";106
"160023 Ferreira Gomes";164
"160025 Itaubal";120
"160027 Laranjal do Jari";813
"160030 Macapá";9269
"160040 Mazagão";450
"160050 Oiapoque";557
"160015 Pedra Branca do Amapari";272
"160053 Porto Grande";395
"160055 Pracuúba";80
"160060 Santana";2188
"160005 Serra do Navio";60
"160070 Tartarugalzinho";300
"160080 Vitória do Jari";274
"170025 Abreulândia";27
"170030 Aguiarnópolis";76
"170035 Aliança do Tocantins";93
"170040 Almas";128
"170070 Alvorada";111
"170100 Ananás";164
"170105 Angico";43
"170110 Aparecida do Rio Negro";79
"170130 Aragominas";68
"170190 Araguacema";113
"170200 Araguaçu";97
"170210 Araguaína";3098
"170215 Araguanã";97
"170220 Araguatins";569
"170230 Arapoema";102
"170240 Arraias";169
"170255 Augustinópolis";312
"170270 Aurora do Tocantins";42
"170290 Axixá do Tocantins";157
"170300 Babaçulândia";107
"170305 Bandeirantes do Tocantins";48
"170307 Barra do Ouro";95
"170310 Barrolândia";59
"170320 Bernardo Sayão";60
"170330 Bom Jesus do Tocantins";80
"170360 Brasilândia do Tocantins";22
"170370 Brejinho de Nazaré";79
"170380 Buriti do Tocantins";146
"170382 Cachoeirinha";29
"170384 Campos Lindos";141
"170386 Cariri do Tocantins";52
"170388 Carmolândia";45
"170389 Carrasco Bonito";76
"170390 Caseara";69
"170410 Centenário";25
"170510 Chapada da Natividade";37
"170460 Chapada de Areia";20
"170550 Colinas do Tocantins";603
"171670 Colméia";104
"170555 Combinado";71
"170560 Conceição do Tocantins";60
"170600 Couto Magalhães";80
"170610 Cristalândia";103
"170625 Crixás do Tocantins";24
"170650 Darcinópolis";110
"170700 Dianópolis";312
"170710 Divinópolis do Tocantins";109
"170720 Dois Irmãos do Tocantins";59
"170730 Dueré";58
"170740 Esperantina";152
"170755 Fátima";69
"170765 Figueirópolis";76
"170770 Filadélfia";108
"170820 Formoso do Araguaia";297
"170825 Fortaleza do Tabocão";49
"170830 Goianorte";68
"170900 Goiatins";246
"170930 Guaraí";381
"170950 Gurupi";1346
"170980 Ipueiras";20
"171050 Itacajá";143
"171070 Itaguatins";70
"171090 Itapiratins";64
"171110 Itaporã do Tocantins";38
"171150 Jaú do Tocantins";28
"171180 Juarina";30
"171190 Lagoa da Confusão";242
"171195 Lagoa do Tocantins";47
"171200 Lajeado";61
"171215 Lavandeira";22
"171240 Lizarda";45
"171245 Luzinópolis";34
"171250 Marianópolis do Tocantins";66
"171270 Mateiros";38
"171280 Maurilândia do Tocantins";43
"171320 Miracema do Tocantins";290
"171330 Miranorte";164
"171360 Monte do Carmo";134
"171370 Monte Santo do Tocantins";36
"171395 Muricilândia";60
"171420 Natividade";111
"171430 Nazaré";70
"171488 Nova Olinda";191
"171500 Nova Rosalândia";53
"171510 Novo Acordo";80
"171515 Novo Alegre";24
"171525 Novo Jardim";34
"171550 Oliveira de Fátima";30
"172100 Palmas";5163
"171570 Palmeirante";71
"171380 Palmeiras do Tocantins";77
"171575 Palmeirópolis";72
"171610 Paraíso do Tocantins";865
"171620 Paranã";146
"171630 Pau D'Arco";59
"171650 Pedro Afonso";270
"171660 Peixe";126
"171665 Pequizeiro";57
"171700 Pindorama do Tocantins";58
"171720 Piraquê";47
"171750 Pium";96
"171780 Ponte Alta do Bom Jesus";53
"171790 Ponte Alta do Tocantins";117
"171800 Porto Alegre do Tocantins";39
"171820 Porto Nacional";1213
"171830 Praia Norte";106
"171840 Presidente Kennedy";41
"171845 Pugmil";32
"171850 Recursolândia";54
"171855 Riachinho";60
"171865 Rio da Conceição";38
"171870 Rio dos Bois";42
"171875 Rio Sono";69
"171880 Sampaio";78
"171884 Sandolândia";39
"171886 Santa Fé do Araguaia";101
"171888 Santa Maria do Tocantins";41
"171889 Santa Rita do Tocantins";29
"171890 Santa Rosa do Tocantins";80
"171900 Santa Tereza do Tocantins";64
"172000 Santa Terezinha do Tocantins";33
"172010 São Bento do Tocantins";76
"172015 São Félix do Tocantins";20
"172020 São Miguel do Tocantins";172
"172025 São Salvador do Tocantins";30
"172030 São Sebastião do Tocantins";62
"172049 São Valério";56
"172065 Silvanópolis";83
"172080 Sítio Novo do Tocantins";135
"172085 Sucupira";21
"172090 Taguatinga";203
"172093 Taipas do Tocantins";16
"172097 Talismã";42
"172110 Tocantínia";193
"172120 Tocantinópolis";495
"172125 Tupirama";24
"172130 Tupiratins";21
"172208 Wanderlândia";133
"172210 Xambioá";226
"170000 Município ignorado - TO";3
"210005 Açailândia";1902
"210010 Afonso Cunha";103
"210015 Água Doce do Maranhão";168
"210020 Alcântara";229
"210030 Aldeias Altas";432
"210040 Altamira do Maranhão";88
"210043 Alto Alegre do Maranhão";419
"210047 Alto Alegre do Pindaré";479
"210050 Alto Parnaíba";175
"210055 Amapá do Maranhão";150
"210060 Amarante do Maranhão";821
"210070 Anajatuba";329
"210080 Anapurus";311
"210083 Apicum-Açu";247
"210087 Araguanã";194
"210090 Araioses";528
"210095 Arame";610
"210100 Arari";479
"210110 Axixá";171
"210120 Bacabal";1540
"210125 Bacabeira";279
"210130 Bacuri";243
"210135 Bacurituba";73
"210140 Balsas";2084
"210150 Barão de Grajaú";262
"210160 Barra do Corda";1681
"210170 Barreirinhas";1187
"210177 Bela Vista do Maranhão";205
"210173 Belágua";182
"210180 Benedito Leite";66
"210190 Bequimão";290
"210193 Bernardo do Mearim";66
"210197 Boa Vista do Gurupi";142
"210200 Bom Jardim";683
"210203 Bom Jesus das Selvas";540
"210207 Bom Lugar";148
"210210 Brejo";545
"210215 Brejo de Areia";136
"210220 Buriti";529
"210230 Buriti Bravo";415
"210232 Buriticupu";1366
"210235 Buritirana";215
"210237 Cachoeira Grande";168
"210240 Cajapió";169
"210250 Cajari";254
"210255 Campestre do Maranhão";233
"210260 Cândido Mendes";307
"210270 Cantanhede";300
"210275 Capinzal do Norte";185
"210280 Carolina";330
"210290 Carutapera";441
"210300 Caxias";2605
"210310 Cedral";99
"210312 Central do Maranhão";134
"210315 Centro do Guilherme";202
"210317 Centro Novo do Maranhão";297
"210320 Chapadinha";1470
"210325 Cidelândia";211
"210330 Codó";2029
"210340 Coelho Neto";775
"210350 Colinas";670
"210355 Conceição do Lago-Açu";236
"210360 Coroatá";1100
"210370 Cururupu";460
"210375 Davinópolis";235
"210380 Dom Pedro";346
"210390 Duque Bacelar";183
"210400 Esperantinópolis";316
"210405 Estreito";625
"210407 Feira Nova do Maranhão";95
"210408 Fernando Falcão";249
"210409 Formosa da Serra Negra";256
"210410 Fortaleza dos Nogueiras";258
"210420 Fortuna";339
"210430 Godofredo Viana";173
"210440 Gonçalves Dias";265
"210450 Governador Archer";167
"210455 Governador Edison Lobão";272
"210460 Governador Eugênio Barros";283
"210462 Governador Luiz Rocha";112
"210465 Governador Newton Bello";135
"210467 Governador Nunes Freire";448
"210470 Graça Aranha";52
"210480 Grajaú";1570
"210490 Guimarães";176
"210500 Humberto de Campos";510
"210510 Icatu";394
"210515 Igarapé do Meio";242
"210520 Igarapé Grande";131
"210530 Imperatriz";5051
"210535 Itaipava do Grajaú";303
"210540 Itapecuru Mirim";1258
"210542 Itinga do Maranhão";302
"210545 Jatobá";131
"210547 Jenipapo dos Vieiras";361
"210550 João Lisboa";476
"210560 Joselândia";235
"210565 Junco do Maranhão";135
"210570 Lago da Pedra";846
"210580 Lago do Junco";198
"210594 Lago dos Rodrigues";125
"210590 Lago Verde";273
"210592 Lagoa do Mato";147
"210596 Lagoa Grande do Maranhão";192
"210598 Lajeado Novo";88
"210600 Lima Campos";185
"210610 Loreto";165
"210620 Luís Domingues";130
"210630 Magalhães de Almeida";211
"210632 Maracaçumé";373
"210635 Marajá do Sena";88
"210637 Maranhãozinho";210
"210640 Mata Roma";321
"210650 Matinha";377
"210660 Matões";502
"210663 Matões do Norte";112
"210667 Milagres do Maranhão";66
"210670 Mirador";327
"210675 Miranda do Norte";357
"210680 Mirinzal";231
"210690 Monção";609
"210700 Montes Altos";177
"210710 Morros";375
"210720 Nina Rodrigues";219
"210725 Nova Colinas";107
"210730 Nova Iorque";30
"210735 Nova Olinda do Maranhão";247
"210740 Olho d'Água das Cunhãs";293
"210745 Olinda Nova do Maranhão";207
"210750 Paço do Lumiar";1722
"210760 Palmeirândia";316
"210770 Paraibano";327
"210780 Parnarama";518
"210790 Passagem Franca";368
"210800 Pastos Bons";324
"210805 Paulino Neves";346
"210810 Paulo Ramos";306
"210820 Pedreiras";534
"210825 Pedro do Rosário";339
"210830 Penalva";711
"210840 Peri Mirim";123
"210845 Peritoró";379
"210850 Pindaré-Mirim";533
"210860 Pinheiro";1619
"210870 Pio XII";391
"210880 Pirapemas";268
"210890 Poção de Pedras";258
"210900 Porto Franco";430
"210905 Porto Rico do Maranhão";66
"210910 Presidente Dutra";883
"210920 Presidente Juscelino";208
"210923 Presidente Médici";88
"210927 Presidente Sarney";393
"210930 Presidente Vargas";216
"210940 Primeira Cruz";177
"210945 Raposa";502
"210950 Riachão";364
"210955 Ribamar Fiquene";117
"210960 Rosário";572
"210970 Sambaíba";61
"210975 Santa Filomena do Maranhão";88
"210980 Santa Helena";545
"210990 Santa Inês";1599
"211000 Santa Luzia";1153
"211003 Santa Luzia do Paruá";376
"211010 Santa Quitéria do Maranhão";510
"211020 Santa Rita";585
"211023 Santana do Maranhão";107
"211027 Santo Amaro do Maranhão";193
"211030 Santo Antônio dos Lopes";235
"211040 São Benedito do Rio Preto";373
"211050 São Bento";565
"211060 São Bernardo";445
"211065 São Domingos do Azeitão";134
"211070 São Domingos do Maranhão";641
"211080 São Félix de Balsas";44
"211085 São Francisco do Brejão";137
"211090 São Francisco do Maranhão";165
"211100 São João Batista";241
"211102 São João do Carú";245
"211105 São João do Paraíso";149
"211107 São João do Soter";252
"211110 São João dos Patos";413
"211120 São José de Ribamar";3236
"211125 São José dos Basílios";90
"211130 São Luís";15549
"211140 São Luís Gonzaga do Maranhão";322
"211150 São Mateus do Maranhão";691
"211153 São Pedro da Água Branca";143
"211157 São Pedro dos Crentes";84
"211160 São Raimundo das Mangabeiras";320
"211163 São Raimundo do Doca Bezerra";63
"211167 São Roberto";77
"211170 São Vicente Ferrer";277
"211172 Satubinha";104
"211174 Senador Alexandre Costa";206
"211176 Senador La Rocque";264
"211178 Serrano do Maranhão";178
"211180 Sítio Novo";303
"211190 Sucupira do Norte";124
"211195 Sucupira do Riachão";72
"211200 Tasso Fragoso";127
"211210 Timbiras";532
"211220 Timon";2810
"211223 Trizidela do Vale";371
"211227 Tufilândia";114
"211230 Tuntum";534
"211240 Turiaçu";712
"211245 Turilândia";351
"211250 Tutóia";958
"211260 Urbano Santos";656
"211270 Vargem Grande";903
"211280 Viana";1013
"211285 Vila Nova dos Martírios";172
"211290 Vitória do Mearim";493
"211300 Vitorino Freire";503
"211400 Zé Doca";716
"210000 Município ignorado - MA";4
"220005 Acauã";105
"220010 Agricolândia";81
"220020 Água Branca";308
"220025 Alagoinha do Piauí";85
"220027 Alegrete do Piauí";77
"220030 Alto Longá";146
"220040 Altos";643
"220045 Alvorada do Gurguéia";91
"220050 Amarante";274
"220060 Angical do Piauí";85
"220070 Anísio de Abreu";124
"220080 Antônio Almeida";41
"220090 Aroazes";63
"220095 Aroeiras do Itaim";20
"220100 Arraial";60
"220105 Assunção do Piauí";111
"220110 Avelino Lopes";190
"220115 Baixa Grande do Ribeiro";250
"220117 Barra D'Alcântara";44
"220120 Barras";738
"220130 Barreiras do Piauí";39
"220140 Barro Duro";81
"220150 Batalha";352
"220155 Bela Vista do Piauí";39
"220157 Belém do Piauí";39
"220160 Beneditinos";121
"220170 Bertolínia";69
"220173 Betânia do Piauí";104
"220177 Boa Hora";73
"220180 Bocaina";39
"220190 Bom Jesus";467
"220191 Bom Princípio do Piauí";100
"220192 Bonfim do Piauí";85
"220194 Boqueirão do Piauí";97
"220196 Brasileira";85
"220198 Brejo do Piauí";44
"220200 Buriti dos Lopes";328
"220202 Buriti dos Montes";78
"220205 Cabeceiras do Piauí";101
"220207 Cajazeiras do Piauí";38
"220208 Cajueiro da Praia";110
"220209 Caldeirão Grande do Piauí";65
"220210 Campinas do Piauí";56
"220211 Campo Alegre do Fidalgo";60
"220213 Campo Grande do Piauí";66
"220217 Campo Largo do Piauí";96
"220220 Campo Maior";605
"220225 Canavieira";47
"220230 Canto do Buriti";268
"220240 Capitão de Campos";168
"220245 Capitão Gervásio Oliveira";48
"220250 Caracol";198
"220253 Caraúbas do Piauí";78
"220255 Caridade do Piauí";82
"220260 Castelo do Piauí";312
"220265 Caxingó";82
"220270 Cocal";418
"220271 Cocal de Telha";57
"220272 Cocal dos Alves";61
"220273 Coivaras";48
"220275 Colônia do Gurguéia";81
"220277 Colônia do Piauí";102
"220280 Conceição do Canindé";77
"220285 Coronel José Dias";49
"220290 Corrente";450
"220300 Cristalândia do Piauí";97
"220310 Cristino Castro";161
"220320 Curimatá";186
"220323 Currais";70
"220327 Curral Novo do Piauí";73
"220325 Curralinhos";68
"220330 Demerval Lobão";264
"220335 Dirceu Arcoverde";96
"220340 Dom Expedito Lopes";72
"220345 Dom Inocêncio";75
"220342 Domingos Mourão";59
"220350 Elesbão Veloso";155
"220360 Eliseu Martins";46
"220370 Esperantina";649
"220375 Fartura do Piauí";77
"220380 Flores do Piauí";62
"220385 Floresta do Piauí";28
"220390 Floriano";918
"220400 Francinópolis";58
"220410 Francisco Ayres";53
"220415 Francisco Macedo";35
"220420 Francisco Santos";97
"220430 Fronteiras";119
"220435 Geminiano";88
"220440 Gilbués";204
"220450 Guadalupe";190
"220455 Guaribas";84
"220460 Hugo Napoleão";41
"220465 Ilha Grande";164
"220470 Inhuma";184
"220480 Ipiranga do Piauí";111
"220490 Isaías Coelho";124
"220500 Itainópolis";118
"220510 Itaueira";139
"220515 Jacobina do Piauí";55
"220520 Jaicós";272
"220525 Jardim do Mulato";54
"220527 Jatobá do Piauí";46
"220530 Jerumenha";66
"220535 João Costa";36
"220540 Joaquim Pires";222
"220545 Joca Marques";82
"220550 José de Freitas";617
"220551 Juazeiro do Piauí";47
"220552 Júlio Borges";96
"220553 Jurema";64
"220555 Lagoa Alegre";116
"220557 Lagoa de São Francisco";73
"220556 Lagoa do Barro do Piauí";67
"220558 Lagoa do Piauí";67
"220559 Lagoa do Sítio";53
"220554 Lagoinha do Piauí";31
"220560 Landri Sales";79
"220570 Luís Correia";409
"220580 Luzilândia";395
"220585 Madeiro";131
"220590 Manoel Emídio";73
"220595 Marcolândia";145
"220600 Marcos Parente";70
"220605 Massapê do Piauí";49
"220610 Matias Olímpio";170
"220620 Miguel Alves";514
"220630 Miguel Leão";14
"220635 Milton Brandão";75
"220640 Monsenhor Gil";130
"220650 Monsenhor Hipólito";83
"220660 Monte Alegre do Piauí";202
"220665 Morro Cabeça no Tempo";74
"220667 Morro do Chapéu do Piauí";124
"220669 Murici dos Portelas";119
"220670 Nazaré do Piauí";82
"220672 Nazária";161
"220675 Nossa Senhora de Nazaré";54
"220680 Nossa Senhora dos Remédios";141
"220795 Nova Santa Rita";51
"220690 Novo Oriente do Piauí";70
"220695 Novo Santo Antônio";45
"220700 Oeiras";503
"220710 Olho D'Água do Piauí";40
"220720 Padre Marcos";90
"220730 Paes Landim";54
"220735 Pajeú do Piauí";29
"220740 Palmeira do Piauí";63
"220750 Palmeirais";191
"220755 Paquetá";42
"220760 Parnaguá";169
"220770 Parnaíba";2377
"220775 Passagem Franca do Piauí";58
"220777 Patos do Piauí";57
"220779 Pau D'Arco do Piauí";31
"220780 Paulistana";345
"220785 Pavussu";48
"220790 Pedro II";563
"220793 Pedro Laurentino";25
"220800 Picos";1088
"220810 Pimenteiras";141
"220820 Pio IX";218
"220830 Piracuruca";454
"220840 Piripiri";1014
"220850 Porto";270
"220855 Porto Alegre do Piauí";28
"220860 Prata do Piauí";47
"220865 Queimada Nova";107
"220870 Redenção do Gurguéia";141
"220880 Regeneração";265
"220885 Riacho Frio";66
"220887 Ribeira do Piauí";55
"220890 Ribeiro Gonçalves";114
"220900 Rio Grande do Piauí";70
"220910 Santa Cruz do Piauí";62
"220915 Santa Cruz dos Milagres";37
"220920 Santa Filomena";99
"220930 Santa Luz";75
"220937 Santa Rosa do Piauí";71
"220935 Santana do Piauí";46
"220940 Santo Antônio de Lisboa";78
"220945 Santo Antônio dos Milagres";27
"220950 Santo Inácio do Piauí";44
"220955 São Braz do Piauí";54
"220960 São Félix do Piauí";29
"220965 São Francisco de Assis do Piauí";65
"220970 São Francisco do Piauí";96
"220975 São Gonçalo do Gurguéia";40
"220980 São Gonçalo do Piauí";70
"220985 São João da Canabrava";47
"220987 São João da Fronteira";71
"220990 São João da Serra";78
"220995 São João da Varjota";79
"220997 São João do Arraial";150
"221000 São João do Piauí";375
"221005 São José do Divino";55
"221010 São José do Peixe";59
"221020 São José do Piauí";69
"221030 São Julião";64
"221035 São Lourenço do Piauí";61
"221037 São Luis do Piauí";21
"221038 São Miguel da Baixa Grande";14
"221039 São Miguel do Fidalgo";35
"221040 São Miguel do Tapuio";209
"221050 São Pedro do Piauí";230
"221060 São Raimundo Nonato";642
"221062 Sebastião Barros";61
"221063 Sebastião Leal";58
"221065 Sigefredo Pacheco";107
"221070 Simões";226
"221080 Simplício Mendes";175
"221090 Socorro do Piauí";48
"221093 Sussuapara";73
"221095 Tamboril do Piauí";43
"221097 Tanque do Piauí";38
"221100 Teresina";14073
"221110 União";703
"221120 Uruçuí";419
"221130 Valença do Piauí";287
"221135 Várzea Branca";69
"221140 Várzea Grande";62
"221150 Vera Mendes";36
"221160 Vila Nova do Piauí";36
"221170 Wall Ferraz";34
"230010 Abaiara";129
"230015 Acarape";206
"230020 Acaraú";1021
"230030 Acopiara";563
"230040 Aiuaba";184
"230050 Alcântaras";121
"230060 Altaneira";113
"230070 Alto Santo";180
"230075 Amontada";722
"230080 Antonina do Norte";96
"230090 Apuiarés";152
"230100 Aquiraz";1079
"230110 Aracati";994
"230120 Aracoiaba";383
"230125 Ararendá";121
"230130 Araripe";390
"230140 Aratuba";163
"230150 Arneiroz";90
"230160 Assaré";286
"230170 Aurora";299
"230180 Baixio";72
"230185 Banabuiú";262
"230190 Barbalha";1179
"230195 Barreira";317
"230200 Barro";258
"230205 Barroquinha";225
"230210 Baturité";485
"230220 Beberibe";599
"230230 Bela Cruz";394
"230240 Boa Viagem";638
"230250 Brejo Santo";738
"230260 Camocim";967
"230270 Campos Sales";363
"230280 Canindé";1072
"230290 Capistrano";240
"230300 Caridade";240
"230310 Cariré";190
"230320 Caririaçu";391
"230330 Cariús";213
"230340 Carnaubal";269
"230350 Cascavel";1003
"230360 Catarina";135
"230365 Catunda";123
"230370 Caucaia";5428
"230380 Cedro";286
"230390 Chaval";202
"230393 Choró";176
"230395 Chorozinho";235
"230400 Coreaú";268
"230410 Crateús";913
"230420 Crato";2138
"230423 Croatá";187
"230425 Cruz";412
"230426 Deputado Irapuan Pinheiro";88
"230427 Ererê";23
"230428 Eusébio";1273
"230430 Farias Brito";248
"230435 Forquilha";281
"230440 Fortaleza";36718
"230445 Fortim";194
"230450 Frecheirinha";242
"230460 General Sampaio";107
"230465 Graça";159
"230470 Granja";805
"230480 Granjeiro";72
"230490 Groaíras";119
"230495 Guaiúba";343
