 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Período:2017
"Município";"Nascim_p/resid.mãe"
"110001 Alta Floresta D'Oeste";354
"110037 Alto Alegre dos Parecis";172
"110040 Alto Paraíso";242
"110034 Alvorada D'Oeste";178
"110002 Ariquemes";1724
"110045 Buritis";632
"110003 Cabixi";67
"110060 Cacaulândia";71
"110004 Cacoal";1452
"110070 Campo Novo de Rondônia";174
"110080 Candeias do Jamari";397
"110090 Castanheiras";39
"110005 Cerejeiras";277
"110092 Chupinguaia";169
"110006 Colorado do Oeste";243
"110007 Corumbiara";87
"110008 Costa Marques";216
"110094 Cujubim";209
"110009 Espigão D'Oeste";533
"110100 Governador Jorge Teixeira";109
"110010 Guajará-Mirim";842
"110110 Itapuã do Oeste";95
"110011 Jaru";846
"110012 Ji-Paraná";2050
"110013 Machadinho D'Oeste";449
"110120 Ministro Andreazza";100
"110130 Mirante da Serra";156
"110140 Monte Negro";200
"110014 Nova Brasilândia D'Oeste";224
"110033 Nova Mamoré";487
"110143 Nova União";94
"110050 Novo Horizonte do Oeste";91
"110015 Ouro Preto do Oeste";578
"110145 Parecis";51
"110018 Pimenta Bueno";615
"110146 Pimenteiras do Oeste";52
"110020 Porto Velho";8800
"110025 Presidente Médici";289
"110147 Primavera de Rondônia";63
"110026 Rio Crespo";49
"110028 Rolim de Moura";963
"110029 Santa Luzia D'Oeste";112
"110148 São Felipe D'Oeste";75
"110149 São Francisco do Guaporé";333
"110032 São Miguel do Guaporé";372
"110150 Seringueiras";188
"110155 Teixeirópolis";58
"110160 Theobroma";146
"110170 Urupá";150
"110175 Vale do Anari";86
"110180 Vale do Paraíso";79
"110030 Vilhena";1465
"120001 Acrelândia";256
"120005 Assis Brasil";248
"120010 Brasiléia";570
"120013 Bujari";307
"120017 Capixaba";243
"120020 Cruzeiro do Sul";1684
"120025 Epitaciolândia";291
"120030 Feijó";833
"120032 Jordão";266
"120033 Mâncio Lima";358
"120034 Manoel Urbano";261
"120035 Marechal Thaumaturgo";388
"120038 Plácido de Castro";305
"120080 Porto Acre";430
"120039 Porto Walter";282
"120040 Rio Branco";6460
"120042 Rodrigues Alves";366
"120043 Santa Rosa do Purus";198
"120050 Sena Madureira";780
"120045 Senador Guiomard";395
"120060 Tarauacá";1132
"120070 Xapuri";305
"130002 Alvarães";401
"130006 Amaturá";267
"130008 Anamã";196
"130010 Anori";257
"130014 Apuí";233
"130020 Atalaia do Norte";382
"130030 Autazes";897
"130040 Barcelos";524
"130050 Barreirinha";870
"130060 Benjamin Constant";1039
"130063 Beruri";597
"130068 Boa Vista do Ramos";319
"130070 Boca do Acre";771
"130080 Borba";797
"130083 Caapiranga";216
"130090 Canutama";191
"130100 Carauari";626
"130110 Careiro";512
"130115 Careiro da Várzea";237
"130120 Coari";1656
"130130 Codajás";439
"130140 Eirunepé";854
"130150 Envira";424
"130160 Fonte Boa";630
"130165 Guajará";326
"130170 Humaitá";1001
"130180 Ipixuna";409
"130185 Iranduba";941
"130190 Itacoatiara";1985
"130195 Itamarati";245
"130200 Itapiranga";165
"130210 Japurá";161
"130220 Juruá";253
"130230 Jutaí";659
"130240 Lábrea";741
"130250 Manacapuru";1938
"130255 Manaquiri";300
"130260 Manaus";38498
"130270 Manicoré";989
"130280 Maraã";418
"130290 Maués";1553
"130300 Nhamundá";358
"130310 Nova Olinda do Norte";592
"130320 Novo Airão";333
"130330 Novo Aripuanã";406
"130340 Parintins";2139
"130350 Pauini";355
"130353 Presidente Figueiredo";523
"130356 Rio Preto da Eva";422
"130360 Santa Isabel do Rio Negro";370
"130370 Santo Antônio do Içá";724
"130380 São Gabriel da Cachoeira";1214
"130390 São Paulo de Olivença";999
"130395 São Sebastião do Uatumã";206
"130400 Silves";246
"130406 Tabatinga";1701
"130410 Tapauá";405
"130420 Tefé";1763
"130423 Tonantins";458
"130426 Uarini";333
"130430 Urucará";270
"130440 Urucurituba";315
"130000 Município ignorado - AM";17
"140005 Alto Alegre";526
"140002 Amajari";355
"140010 Boa Vista";7043
"140015 Bonfim";377
"140017 Cantá";352
"140020 Caracaraí";407
"140023 Caroebe";183
