 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Período:2008
"Município";"Nascim_p/resid.mãe"
"110001 Alta Floresta D'Oeste";406
"110037 Alto Alegre dos Parecis";160
"110040 Alto Paraíso";292
"110034 Alvorada D'Oeste";246
"110002 Ariquemes";1777
"110045 Buritis";701
"110003 Cabixi";124
"110060 Cacaulândia";93
"110004 Cacoal";1196
"110070 Campo Novo de Rondônia";171
"110080 Candeias do Jamari";342
"110090 Castanheiras";42
"110005 Cerejeiras";262
"110092 Chupinguaia";131
"110006 Colorado do Oeste";263
"110007 Corumbiara";116
"110008 Costa Marques";314
"110094 Cujubim";221
"110009 Espigão D'Oeste";541
"110100 Governador Jorge Teixeira";155
"110010 Guajará-Mirim";903
"110110 Itapuã do Oeste";128
"110011 Jaru";924
"110012 Ji-Paraná";2130
"110013 Machadinho D'Oeste";596
"110120 Ministro Andreazza";138
"110130 Mirante da Serra";210
"110140 Monte Negro";261
"110014 Nova Brasilândia D'Oeste";290
"110033 Nova Mamoré";287
"110143 Nova União";117
"110050 Novo Horizonte do Oeste";131
"110015 Ouro Preto do Oeste";619
"110145 Parecis";63
"110018 Pimenta Bueno";547
"110146 Pimenteiras do Oeste";44
"110020 Porto Velho";7735
"110025 Presidente Médici";321
"110147 Primavera de Rondônia";43
"110026 Rio Crespo";50
"110028 Rolim de Moura";785
"110029 Santa Luzia D'Oeste";115
"110148 São Felipe D'Oeste";86
"110149 São Francisco do Guaporé";214
"110032 São Miguel do Guaporé";414
"110150 Seringueiras";176
"110155 Teixeirópolis";63
"110160 Theobroma";118
"110170 Urupá";190
"110175 Vale do Anari";112
"110180 Vale do Paraíso";99
"110030 Vilhena";1328
"110000 Município ignorado - RO";1
"120001 Acrelândia";273
"120005 Assis Brasil";299
"120010 Brasiléia";527
"120013 Bujari";147
"120017 Capixaba";194
"120020 Cruzeiro do Sul";1815
"120025 Epitaciolândia";274
"120030 Feijó";857
"120032 Jordão";248
"120033 Mâncio Lima";482
"120034 Manoel Urbano";198
"120035 Marechal Thaumaturgo";499
"120038 Plácido de Castro";396
"120080 Porto Acre";359
"120039 Porto Walter";381
"120040 Rio Branco";7068
"120042 Rodrigues Alves";597
"120043 Santa Rosa do Purus";191
"120050 Sena Madureira";1089
"120045 Senador Guiomard";361
"120060 Tarauacá";1351
"120070 Xapuri";388
"130002 Alvarães";347
"130006 Amaturá";310
"130008 Anamã";180
"130010 Anori";284
"130014 Apuí";267
"130020 Atalaia do Norte";238
"130030 Autazes";703
"130040 Barcelos";325
"130050 Barreirinha";641
"130060 Benjamin Constant";1104
