 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Período:2014
"Município";"Nascim_p/resid.mãe"
"110001 Alta Floresta D'Oeste";341
"110037 Alto Alegre dos Parecis";172
"110040 Alto Paraíso";254
"110034 Alvorada D'Oeste";184
"110002 Ariquemes";1647
"110045 Buritis";620
"110003 Cabixi";75
"110060 Cacaulândia";58
"110004 Cacoal";1307
"110070 Campo Novo de Rondônia";181
"110080 Candeias do Jamari";296
"110090 Castanheiras";46
"110005 Cerejeiras";250
"110092 Chupinguaia";158
"110006 Colorado do Oeste";273
"110007 Corumbiara";125
"110008 Costa Marques";267
"110094 Cujubim";240
"110009 Espigão D'Oeste";496
"110100 Governador Jorge Teixeira";124
"110010 Guajará-Mirim";923
"110110 Itapuã do Oeste";97
"110011 Jaru";867
"110012 Ji-Paraná";1956
"110013 Machadinho D'Oeste";507
"110120 Ministro Andreazza";107
"110130 Mirante da Serra";137
"110140 Monte Negro";204
"110014 Nova Brasilândia D'Oeste";254
"110033 Nova Mamoré";425
"110143 Nova União";110
"110050 Novo Horizonte do Oeste";93
"110015 Ouro Preto do Oeste";674
"110145 Parecis";49
"110018 Pimenta Bueno";597
"110146 Pimenteiras do Oeste";37
"110020 Porto Velho";9130
"110025 Presidente Médici";289
"110147 Primavera de Rondônia";47
"110026 Rio Crespo";36
"110028 Rolim de Moura";947
"110029 Santa Luzia D'Oeste";103
"110148 São Felipe D'Oeste";59
"110149 São Francisco do Guaporé";308
"110032 São Miguel do Guaporé";364
"110150 Seringueiras";170
"110155 Teixeirópolis";69
"110160 Theobroma";125
"110170 Urupá";122
"110175 Vale do Anari";128
"110180 Vale do Paraíso";90
"110030 Vilhena";1418
"110000 Município ignorado - RO";4
"120001 Acrelândia";269
"120005 Assis Brasil";196
"120010 Brasiléia";547
"120013 Bujari";242
"120017 Capixaba";234
"120020 Cruzeiro do Sul";1818
"120025 Epitaciolândia";262
"120030 Feijó";829
"120032 Jordão";282
