 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Período:2011
"Município";"Nascim_p/resid.mãe"
"110001 Alta Floresta D'Oeste";398
"110037 Alto Alegre dos Parecis";199
"110040 Alto Paraíso";268
"110034 Alvorada D'Oeste";200
"110002 Ariquemes";1579
"110045 Buritis";693
"110003 Cabixi";90
"110060 Cacaulândia";68
"110004 Cacoal";1304
"110070 Campo Novo de Rondônia";180
"110080 Candeias do Jamari";419
"110090 Castanheiras";51
"110005 Cerejeiras";226
"110092 Chupinguaia";102
"110006 Colorado do Oeste";237
"110007 Corumbiara";98
"110008 Costa Marques";257
"110094 Cujubim";225
"110009 Espigão D'Oeste";496
"110100 Governador Jorge Teixeira";167
"110010 Guajará-Mirim";956
"110110 Itapuã do Oeste";137
"110011 Jaru";852
"110012 Ji-Paraná";2286
"110013 Machadinho D'Oeste";569
"110120 Ministro Andreazza";120
"110130 Mirante da Serra";141
"110140 Monte Negro";231
"110014 Nova Brasilândia D'Oeste";293
"110033 Nova Mamoré";417
"110143 Nova União";90
"110050 Novo Horizonte do Oeste";105
"110015 Ouro Preto do Oeste";631
"110145 Parecis";68
"110018 Pimenta Bueno";571
"110146 Pimenteiras do Oeste";37
"110020 Porto Velho";8742
"110025 Presidente Médici";190
"110147 Primavera de Rondônia";46
"110026 Rio Crespo";40
"110028 Rolim de Moura";932
"110029 Santa Luzia D'Oeste";106
"110148 São Felipe D'Oeste";72
"110149 São Francisco do Guaporé";263
"110032 São Miguel do Guaporé";318
"110150 Seringueiras";178
"110155 Teixeirópolis";70
"110160 Theobroma";139
"110170 Urupá";152
"110175 Vale do Anari";87
"110180 Vale do Paraíso";77
"110030 Vilhena";1484
"110000 Município ignorado - RO";1
"120001 Acrelândia";289
"120005 Assis Brasil";260
"120010 Brasiléia";534
"120013 Bujari";195
"120017 Capixaba";207
"120020 Cruzeiro do Sul";1852
"120025 Epitaciolândia";312
"120030 Feijó";907
"120032 Jordão";243
"120033 Mâncio Lima";487
"120034 Manoel Urbano";253
"120035 Marechal Thaumaturgo";550
"120038 Plácido de Castro";390
"120080 Porto Acre";356
"120039 Porto Walter";351
"120040 Rio Branco";6902
"120042 Rodrigues Alves";465
"120043 Santa Rosa do Purus";232
"120050 Sena Madureira";1043
"120045 Senador Guiomard";444
"120060 Tarauacá";1217
"120070 Xapuri";328
"130002 Alvarães";340
"130006 Amaturá";242
"130008 Anamã";199
"130010 Anori";246
"130014 Apuí";195
